month,race_id,variant,actual,current,raw,mark,market_fav,market_first,actual_order_odds,market_fav_odds,winner_role,second_role,third_role,winner_score,second_score,third_score,winner_mark,second_mark,third_mark
2025_09,2220250901020007,BASE,2-6-1,2-1-6,2-1-6,,2-6-1,2,93.7,93.7,other_head,popular_pos3plus,popular_pos2,87.42,79.75,82.74,,,
2025_09,2220250901020007,OH_HIGH,2-6-1,2-1-5,2-1-6,,2-6-1,2,93.7,93.7,other_head,popular_pos3plus,popular_pos2,87.42,79.75,82.74,,,
2025_09,2220250901030011,BASE,7-1-2,1-2-7,2-1-7,,1-2-7,1,32.5,5.7,other_pos2,popular_pos2,solo,91.54,93.22,96.0,,,
2025_09,3420250903030001,BASE,3-7-1,1-3-7,1-3-7,,3-7-1,3,12.3,12.3,other_pos2,other_pos2,popular_pos2,88.62,82.38,90.9,,,
2025_10,8320251001030009,OH_HIGH,1-7-5,7-1-5,7-1-5,,7-1-5,7,3.5,2.7,other_pos2,popular_pos2,other_head,92.22,92.52,83.69,,,
2025_10,8320251001020010,OH_HIGH,4-5-2,2-5-4,2-5-4,,2-5-4,2,126.5,47.1,other_head,other_head,popular_pos2,87.88,90.26,92.52,,,
2025_11,1220251103030006,BASE,3-4-5,3-4-5,3-4-5,,4-3-5,4,16.9,14.9,solo,popular_pos3plus,popular_pos2,91.4,87.19,84.7,,,
2025_11,1220251103030006,OH_HIGH,3-4-5,3-4-5,3-4-5,,4-3-5,4,16.9,14.9,solo,popular_pos3plus,popular_pos2,91.4,87.19,84.7,,,
2025_11,2720251104010008,OH_HIGH,3-5-2,3-1-2,3-2-5,,3-2-5,3,101.8,47.8,popular_pos2,other_pos2,other_head,86.77,84.42,85.14,,,
2025_12,4220251201010002,BASE,4-3-1,3-4-1,4-3-1,,4-1-3,4,50.6,34.0,other_pos2,popular_pos2,other_pos3plus,88.08,88.04,84.19,,,
2025_12,4220251201010002,OH_HIGH,4-3-1,3-4-1,4-3-1,,4-1-3,4,50.6,34.0,other_pos2,popular_pos2,other_pos3plus,88.08,88.04,84.19,,,
2025_12,3120251202010001,BASE,7-5-1,7-5-1,5-7-1,,5-1-7,5,26.1,7.9,popular_pos2,other_head,other_pos2,87.21,88.62,84.58,,,
2025_12,3120251202010001,OH_HIGH,7-5-1,7-5-1,5-7-1,,5-1-7,5,26.1,7.9,popular_pos2,other_head,other_pos2,87.21,88.62,84.58,,,
2025_12,5620251203010005,OH_HIGH,4-1-2,1-2-4,1-2-4,,1-2-4,2,67.9,36.0,other_head,popular_pos2,other_pos2,83.77,89.37,85.12,,,
2025_12,5620251203010007,OH_HIGH,3-5-1,1-3-5,1-3-5,,3-5-1,3,79.4,79.4,other_pos2,other_head,popular_pos2,86.66,84.14,88.73,,,
2025_12,8120251203010005,BASE,4-3-2,2-3-4,2-3-4,,4-3-2,4,21.3,21.3,other_head,other_pos2,popular_pos2,86.52,87.88,88.37,,,
2025_12,8120251203010005,OH_HIGH,4-3-2,2-3-4,2-3-4,,4-3-2,4,21.3,21.3,other_head,other_pos2,popular_pos2,86.52,87.88,88.37,,,
2026_01,8620251230030001,OH_HIGH,2-3-4,3-2-4,3-2-4,2-4-3,2-3-4,3,12.0,12.0,other_head,popular_pos2,popular_pos3plus,82.65,83.66,80.06,6.0,1.0,2.0
2026_01,8320251230030005,OH_HIGH,4-1-2,1-2-4,1-2-4,1-4-2,2-1-4,2,397.6,163.2,other_head,popular_pos2,other_pos2,86.51,89.35,88.22,3.0,6.0,1.0
2026_01,2420260101010005,BASE,7-3-1,1-5-7,1-7-3,1-3-7,1-7-3,1,247.4,146.1,other_pos2,other_head,popular_pos2,97.57,96.23,99.16,1.0,2.0,6.0
2026_01,2420260101010005,OH_HIGH,7-3-1,1-7-3,1-7-3,1-3-7,1-7-3,1,247.4,146.1,other_pos2,other_head,popular_pos2,97.57,96.23,99.16,1.0,2.0,6.0
2026_01,4320260102010004,BASE,4-3-1,3-1-4,1-3-4,3-4-1,3-4-1,3,238.7,92.1,popular_pos3plus,popular_pos2,other_pos2,84.96,85.62,86.83,4.0,6.0,1.0
