month,race_id,selected_set,actual,trio_odds,parsed_trio_count,bet,hit,stake,pay,source_url
2024_06,1220240601020001,1-2-3,3-5-7,99.0,35,1,0,100,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601020001/?pageType=odds&kakeshikiType=3renhuku
2024_06,1220240601030002,1-4-7,1-4-3,18.7,35,1,0,100,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601030002/?pageType=odds&kakeshikiType=3renhuku
2024_06,1220240601020003,3-4-7,7-4-5,17.1,35,1,0,100,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601020003/?pageType=odds&kakeshikiType=3renhuku
2024_06,1220240601030003,4-5-7,2-7-5,77.2,35,1,0,100,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601030003/?pageType=odds&kakeshikiType=3renhuku
2024_06,1220240601020004,2-3-7,2-7-1,5.5,35,0,0,0,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601020004/?pageType=odds&kakeshikiType=3renhuku
2024_06,1220240601010005,3-5-7,2-5-6,19.3,35,1,0,100,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601010005/?pageType=odds&kakeshikiType=3renhuku
2024_06,1220240601030005,2-4-7,4-5-3,8.2,35,0,0,0,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601030005/?pageType=odds&kakeshikiType=3renhuku
2024_06,1220240601020006,1-2-7,3-2-7,29.7,35,1,0,100,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601020006/?pageType=odds&kakeshikiType=3renhuku
2024_06,1220240601030006,1-2-4,6-4-3,80.1,35,1,0,100,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601030006/?pageType=odds&kakeshikiType=3renhuku
2024_06,1220240601010007,4-5-7,1-3-4,72.9,35,1,0,100,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601010007/?pageType=odds&kakeshikiType=3renhuku
2024_06,1220240601030007,3-4-7,2-5-3,24.5,35,1,0,100,0,https://keirin.kdreams.jp/aomori/racedetail/1220240601030007/?pageType=odds&kakeshikiType=3renhuku
2024_06,8620240601030008,2-4-7,4-2-1,3.7,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240601030008/?pageType=odds&kakeshikiType=3renhuku
2024_06,8620240601020009,2-4-7,4-7-2,1.4,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240601020009/?pageType=odds&kakeshikiType=3renhuku
2024_06,8620240601030009,2-5-7,1-5-3,14.3,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240601030009/?pageType=odds&kakeshikiType=3renhuku
2024_06,8620240601010010,2-3-7,3-2-5,27.0,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240601010010/?pageType=odds&kakeshikiType=3renhuku
2024_06,8620240601010011,3-4-5,2-7-4,41.6,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240601010011/?pageType=odds&kakeshikiType=3renhuku
2024_06,8620240601020011,3-5-7,4-5-2,25.6,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240601020011/?pageType=odds&kakeshikiType=3renhuku
2024_06,8620240601020012,4-5-7,4-7-1,7.3,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240601020012/?pageType=odds&kakeshikiType=3renhuku
2024_06,4320240601030008,1-3-4,5-3-4,6.3,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240601030008/?pageType=odds&kakeshikiType=3renhuku
2024_06,4320240601010009,2-3-7,1-7-3,16.4,35,1,0,100,0,https://keirin.kdreams.jp/gifu/racedetail/4320240601010009/?pageType=odds&kakeshikiType=3renhuku
2024_06,4320240601020009,3-4-7,1-4-3,15.1,35,1,0,100,0,https://keirin.kdreams.jp/gifu/racedetail/4320240601020009/?pageType=odds&kakeshikiType=3renhuku
2024_06,4320240601030009,1-2-7,7-4-5,5.2,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240601030009/?pageType=odds&kakeshikiType=3renhuku
2024_06,4320240601010010,1-5-7,1-4-5,16.1,35,1,0,100,0,https://keirin.kdreams.jp/gifu/racedetail/4320240601010010/?pageType=odds&kakeshikiType=3renhuku
2024_06,4320240601020010,3-5-7,4-7-2,6.1,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240601020010/?pageType=odds&kakeshikiType=3renhuku
2024_06,5420240601010001,2-3-5,5-1-4,15.3,35,1,0,100,0,https://keirin.kdreams.jp/mukomachi/racedetail/5420240601010001/?pageType=odds&kakeshikiType=3renhuku
2024_06,5420240601020001,3-4-5,5-6-7,24.7,35,1,0,100,0,https://keirin.kdreams.jp/mukomachi/racedetail/5420240601020001/?pageType=odds&kakeshikiType=3renhuku
2024_06,5420240601030001,2-4-5,1-5-4,6.9,35,0,0,0,0,https://keirin.kdreams.jp/mukomachi/racedetail/5420240601030001/?pageType=odds&kakeshikiType=3renhuku
2024_06,5420240601020002,1-5-7,5-3-7,5.4,35,0,0,0,0,https://keirin.kdreams.jp/mukomachi/racedetail/5420240601020002/?pageType=odds&kakeshikiType=3renhuku
2024_06,5420240601010003,2-4-5,7-5-4,63.8,35,1,0,100,0,https://keirin.kdreams.jp/mukomachi/racedetail/5420240601010003/?pageType=odds&kakeshikiType=3renhuku
2024_06,5420240601010004,4-5-7,1-7-5,38.2,35,1,0,100,0,https://keirin.kdreams.jp/mukomachi/racedetail/5420240601010004/?pageType=odds&kakeshikiType=3renhuku
2024_06,5420240601030004,4-5-7,4-3-6,29.8,35,1,0,100,0,https://keirin.kdreams.jp/mukomachi/racedetail/5420240601030004/?pageType=odds&kakeshikiType=3renhuku
2024_06,5420240601020005,1-4-5,1-5-4,9.5,35,0,0,0,0,https://keirin.kdreams.jp/mukomachi/racedetail/5420240601020005/?pageType=odds&kakeshikiType=3renhuku
2024_06,5320240601010002,2-3-4,1-4-2,36.7,35,1,0,100,0,https://keirin.kdreams.jp/nara/racedetail/5320240601010002/?pageType=odds&kakeshikiType=3renhuku
2024_06,5320240601020002,2-4-6,2-1-4,188.2,35,1,0,100,0,https://keirin.kdreams.jp/nara/racedetail/5320240601020002/?pageType=odds&kakeshikiType=3renhuku
2024_06,5320240601030002,1-5-6,1-3-2,23.4,35,1,0,100,0,https://keirin.kdreams.jp/nara/racedetail/5320240601030002/?pageType=odds&kakeshikiType=3renhuku
2024_06,5320240601010003,1-2-3,1-5-2,6.1,35,0,0,0,0,https://keirin.kdreams.jp/nara/racedetail/5320240601010003/?pageType=odds&kakeshikiType=3renhuku
2024_06,5320240601020003,1-2-3,6-5-4,9.1,35,0,0,0,0,https://keirin.kdreams.jp/nara/racedetail/5320240601020003/?pageType=odds&kakeshikiType=3renhuku
2024_06,5320240601030003,1-2-3,2-5-1,7.1,35,0,0,0,0,https://keirin.kdreams.jp/nara/racedetail/5320240601030003/?pageType=odds&kakeshikiType=3renhuku
2024_06,5320240601010004,1-3-5,2-1-5,13.3,35,0,0,0,0,https://keirin.kdreams.jp/nara/racedetail/5320240601010004/?pageType=odds&kakeshikiType=3renhuku
2024_06,5320240601020004,1-3-5,2-5-1,1.9,35,0,0,0,0,https://keirin.kdreams.jp/nara/racedetail/5320240601020004/?pageType=odds&kakeshikiType=3renhuku
2024_06,5320240601030004,1-3-5,2-1-7,120.1,35,1,0,100,0,https://keirin.kdreams.jp/nara/racedetail/5320240601030004/?pageType=odds&kakeshikiType=3renhuku
