month,race_id,variant,target,head_bust,result_source,candidate_sets,orders,bets,actual,set_match,bet,bet_hit,stake,pay,reason
2024_11,4220241101010001,BASE,2,0,monthly,1-4-7,4-1-7,4-1-7,2-4-1,0,1,0,100,0,BET
2024_11,4220241101010001,OH_HIGH,2,0,monthly,1-4-5|1-4-7,4-1-5|4-1-7,4-1-5|4-1-7,2-4-1,0,1,0,200,0,BET
2024_11,4220241101020001,BASE,5,0,monthly,1-3-7,1-7-3,1-7-3,5-7-2,0,1,0,100,0,BET
2024_11,4220241101020001,OH_HIGH,5,0,monthly,1-3-7,1-7-3,1-7-3,5-7-2,0,1,0,100,0,BET
2024_11,4220241101030001,BASE,5,0,monthly,1-2-4,1-2-4,1-2-4,5-4-3,0,1,0,100,0,BET
2024_11,4220241101030001,OH_HIGH,5,0,monthly,1-2-4,1-2-4,1-2-4,5-4-3,0,1,0,100,0,BET
2024_11,4220241101010002,BASE,5,0,monthly,2-3-4,3-2-4,3-2-4,3-5-2,0,1,0,100,0,BET
2024_11,4220241101010002,OH_HIGH,5,0,monthly,1-2-3,3-1-2,3-1-2,3-5-2,0,1,0,100,0,BET
2024_11,4220241101020002,BASE,1,0,monthly,2-4-7,4-7-2,4-7-2,7-1-2,0,1,0,100,0,BET
2024_11,4220241101020002,OH_HIGH,1,0,monthly,2-4-7,4-7-2,4-7-2,7-1-2,0,1,0,100,0,BET
2024_11,4220241101030002,BASE,1,0,monthly,2-3-4,4-2-3,4-2-3,4-1-6,0,1,0,100,0,BET
2024_11,4220241101030002,OH_HIGH,1,0,monthly,2-4-5|3-4-5,4-5-2|4-5-3,4-5-2,4-1-6,0,1,0,100,0,BET
2024_11,4220241101030003,BASE,4,0,monthly,1-2-7,2-1-7,2-1-7,4-1-7,0,1,0,100,0,BET
2024_11,4220241101030003,OH_HIGH,4,0,monthly,,,,4-1-7,0,0,0,0,0,ranking_cycle
2024_11,4220241101020004,BASE,2,1,monthly,1-3-4,1-4-3,,1-7-3,0,0,0,0,0,odds_too_low
2024_11,4220241101020004,OH_HIGH,2,1,monthly,,,,1-7-3,0,0,0,0,0,ranking_cycle
