race_id,date,venue_slug,race_no,classes,n_players,expected_3rentan,true_line,n_lines,line_quality,line_source_url,parsed_3rentan,odds_quality,odds_snapshot_at,odds_snapshot_kind,bet_close_time,price_quality,price_usable,odds_source_url,context_quality,enriched_at
8320250801010001,2025-08-01,kurume,1,"A1,A2",7,210,5-1-4/3/2-6-7,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801.html,210,full,2025-08-01 15:52,confirmed,15:46,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801010001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:04:26
8320250801020001,2025-08-01,kurume,1,"A1,A2",7,210,5-1-4/3/2-6-7,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801.html,210,full,2025-08-02 15:42,confirmed,15:36,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801020001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:04:42
8320250801030001,2025-08-01,kurume,1,"A1,A2",6,120,5-1-4/3/2-6,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801.html,120,full,2025-08-03 15:51,confirmed,15:45,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801030001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:04:57
8320250801010002,2025-08-01,kurume,2,"A1,A2",7,210,4-1-2-6/7-3-5,2,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801_2.html,210,full,2025-08-01 16:14,confirmed,16:08,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801010002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:12
8320250801020002,2025-08-01,kurume,2,"A1,A2",7,210,4-1-2-6/7-3-5,2,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801_2.html,210,full,2025-08-02 16:06,confirmed,16:00,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801020002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:27
8320250801030002,2025-08-01,kurume,2,"A1,A2",6,120,4-1-2-6/3-5,2,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801_2.html,120,full,2025-08-03 16:15,confirmed,16:09,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801030002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:43
8320250801010003,2025-08-01,kurume,3,"A1,A2",7,210,6-1/5/4-3/7-2,4,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801_3.html,210,full,2025-08-01 16:37,confirmed,16:30,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801010003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:57
8320250801020003,2025-08-01,kurume,3,"A1,A2",7,210,6-1/5/4-3/7-2,4,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801_3.html,210,full,2025-08-02 16:30,confirmed,16:24,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801020003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:12
8320250801030003,2025-08-01,kurume,3,"A1,A2",7,210,6-1/5/4-3/7-2,4,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801_3.html,210,full,2025-08-03 16:39,confirmed,16:33,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801030003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:26
8320250801010004,2025-08-01,kurume,4,"A1,A2",7,210,2-7-4/1-6/3-5,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801_4.html,210,full,2025-08-01 16:59,confirmed,16:53,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801010004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:42
8320250801020004,2025-08-01,kurume,4,"A1,A2",7,210,2-7-4/1-6/3-5,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801_4.html,210,full,2025-08-02 16:54,confirmed,16:48,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801020004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:58
8320250801030004,2025-08-01,kurume,4,"A1,A2",7,210,2-7-4/1-6/3-5,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/0801_4.html,210,full,2025-08-03 17:03,confirmed,16:57,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320250801030004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:07:15
