month,race_id,trio_key,group_score_percentile,role_ok,top3_spread,unordered_role_set,group_market_p,effective_group_odds,entropy_norm,hhi,rank1_conditional_share,rank6_conditional_share,rank1_to_rank6_share_ratio,group_hit,winner_odds_rank,rank1_exact_hit,rank1_posted_odds,rank1_order,rank1_exact_market_p,race_uid
2022_01,3720220101030002,2-5-7,0.2571428571428571,1,1,BANTE+BANTE+RYO,0.011220313153098812,89.12407223891262,0.9598257596468712,0.1912928882168716,0.28082854750921327,0.08710919634605815,3.2238679644519674,0,,0,236.3,7-5-2,0.0031509842453832605,2022_01|3720220101030002
2022_01,2220220101020008,1-3-4,0.22857142857142856,1,1,BANTE+BANTE+BANTE,0.0489880625180762,20.41313635604609,0.9462236016191474,0.19689243092877948,0.2620853291959099,0.07810223327804382,3.355670103092783,0,,0,58.2,4-1-3,0.012839052491719814,2022_01|2220220101020008
2022_01,3620220102030005,1-5-7,0.34285714285714286,1,1,BANTE+RYO+RYO,0.07730123743331666,12.936403519576807,0.744594179911926,0.34097569220169366,0.512651159538252,0.024710805700772668,20.746031746031747,0,,0,18.9,5-1-7,0.03962856900393152,2022_01|3620220102030005
2022_01,8120220104010009,1-4-5,0.2571428571428571,1,1,BANTE+BANTE+BANTE,0.00831963128124023,120.19763450994276,0.9944990689060614,0.16990227336422545,0.19604125099567563,0.13527700079968905,1.4491838955386291,0,,0,459.5,4-1-5,0.0016309909241970903,2022_01|8120220104010009
2022_01,8120220104020009,1-4-5,0.2571428571428571,1,1,BANTE+BANTE+RYO,0.03962918097009174,25.23393054110058,0.8366845514261153,0.2780415774314076,0.44261294279135555,0.054014211652446076,8.194379391100702,0,,0,42.7,1-5-4,0.017540388409583493,2022_01|8120220104020009
2022_01,8120220104030009,1-4-5,0.2857142857142857,1,1,BANTE+BANTE+RYO,0.00815104366457172,122.68367599924308,0.9572535062227128,0.19238054819495728,0.27564924041076405,0.08719570130953051,3.1612709832134294,0,,0,333.6,1-5-4,0.0022468289946941653,2022_01|8120220104030009
2022_01,4820220104020001,3-5-7,0.4,1,1,BANTE+BANTE+BANTE,0.026371660228449362,37.919493552446674,0.9600939962580743,0.19184974032482197,0.26506069061939347,0.1078349375119506,2.4580223880597014,0,,0,107.2,3-5-7,0.00699009047293278,2022_01|4820220104020001
2022_01,6220220105020005,3-5-7,0.4,1,1,BANTE+RYO+RYO,0.020223015988478647,49.448608484991304,0.8979588837818397,0.22593463756625218,0.32821471364755334,0.04850484949918603,6.766637089618455,0,,0,112.7,5-7-3,0.006637491401748412,2022_01|6220220105020005
2022_01,7520220106020012,1-4-7,0.3142857142857143,1,1,BANTE+RYO+RYO,0.12256590624625538,8.158875747965613,0.8264816036435908,0.2798964478426894,0.4237563248072979,0.05224393045569426,8.11111111111111,0,,0,14.4,1-7-4,0.051938077977589016,2022_01|7520220106020012
2022_01,7120220108010012,1-2-3,0.37142857142857144,1,1,BANTE+RYO+RYO,0.010714270721115447,93.3334639406882,0.9278371062283952,0.2123190360391253,0.3242892263530288,0.075133390036894,4.316179879462216,0,,0,215.7,3-2-1,0.0034745225630874363,2022_01|7120220108010012
2022_01,7120220108010012,2-3-7,0.22857142857142856,1,1,BANTE+BANTE+RYO,0.013500792227275875,74.06972740308404,0.9169633201515716,0.21719036296008126,0.29653788335832887,0.06546213651495184,4.529914529914531,0,,0,187.2,3-2-7,0.004003496350736966,2022_01|7120220108010012
2022_01,3820220109020002,3-5-6,0.2857142857142857,1,1,BANTE+RYO+RYO,0.0217775283927951,45.91889318031338,0.9134902764760198,0.22145686816481588,0.31136713185448206,0.0818061193639572,3.806159420289856,0,,0,110.4,5-6-3,0.006780806554544158,2022_01|3820220109020002
2022_01,4420220113020001,4-5-7,0.2571428571428571,1,1,BANTE+BANTE+RYO,0.007122148414671581,140.40707126237447,0.7837499068867749,0.31431294289737094,0.4857461502835316,0.0391178188719581,12.417516218721037,0,,0,215.8,4-7-5,0.003459556174174678,2022_01|4420220113020001
2022_01,4420220113020002,1-2-3,0.2571428571428571,1,1,BANTE+BANTE+RYO,0.010602037388690179,94.32149343924775,0.8209447223550627,0.2857575819587471,0.44859926589006677,0.04332747886330701,10.353689567430026,0,,0,157.2,1-2-3,0.0047560661895054545,2022_01|4420220113020002
2022_01,4420220113030002,3-4-5,0.2857142857142857,1,1,RYO+RYO+RYO,0.059305121764022514,16.861950034923467,0.9464519117868219,0.1978429220047731,0.27279989941692945,0.07585967172975275,3.596112311015119,0,,0,46.3,3-5-4,0.016178431252134095,2022_01|4420220113030002
2022_01,8120220114010003,3-5-7,0.34285714285714286,1,1,BANTE+BANTE+BANTE,0.004706585841206137,212.46823785619816,0.9365585550095675,0.21011653697167454,0.3435993036540426,0.09775993988505753,3.514724989172802,0,,0,461.8,7-5-3,0.0016171796176264052,2022_01|8120220114010003
2022_01,4820220114030007,2-3-4,0.37142857142857144,1,1,BANTE+BANTE+RYO,0.008083299511018969,123.71185784181607,0.926217326567205,0.2136260343352935,0.3060210291210632,0.08507615229218052,3.59702479338843,0,,0,302.5,3-2-4,0.0024736596350558118,2022_01|4820220114030007
2022_01,7520220124020004,3-6-7,0.34285714285714286,1,1,BANTE+BANTE+RYO,0.010234382073564932,97.70985613122328,0.943335844192193,0.19903597956819724,0.26074739996522883,0.07319591113689518,3.5623219373219377,0,,0,280.8,3-6-7,0.0026685885159328034,2022_01|7520220124020004
2022_01,5520220124030010,1-5-6,0.34285714285714286,1,1,BANTE+RYO+RYO,0.028270468026206187,35.37260151027634,0.9350943558830629,0.20751970138824036,0.2820415659786058,0.09069761316914755,3.1096911608093714,0,,0,93.9,5-1-6,0.007973447073059298,2022_01|5520220124030010
2022_01,4420220127010009,1-2-7,0.37142857142857144,1,1,BANTE+BANTE+RYO,0.01869033000095124,53.50360319743446,0.7482598758512977,0.33736551154216143,0.5089323359699875,0.02851760401626061,17.846251588310036,0,,0,78.7,1-2-7,0.009512113307434055,2022_01|4420220127010009
2022_01,4420220127020009,1-2-7,0.2857142857142857,1,1,BANTE+BANTE+RYO,0.1526598715877018,6.550509898899715,0.5480943896671735,0.47461610947013033,0.6267984931019274,0.009876824739787944,63.46153846153848,1,1.0,1,7.8,1-2-7,0.09568697746830523,2022_01|4420220127020009
2022_01,2820220127030003,1-3-5,0.2571428571428571,1,1,BANTE+RYO+RYO,0.013816137998382046,72.37912650533066,0.8263917776611931,0.27203061005427304,0.40214980199890965,0.034557144966821586,11.637240356083085,0,,0,134.8,1-3-5,0.005556157160438952,2022_01|2820220127030003
2022_02,8120220201020001,1-2-4,0.37142857142857144,1,1,BANTE+RYO+RYO,0.028030647621572063,35.67523710120816,0.9119938068661568,0.21711585506449302,0.2812568364861086,0.05924478817334882,4.747368421052632,0,,0,95.0,1-4-2,0.007883811274700224,2022_02|8120220201020001
2022_02,8120220201030001,2-5-7,0.2857142857142857,1,1,BANTE+BANTE+RYO,0.11956793472308488,8.363446289475224,0.5478891348532434,0.5101763403039087,0.6881813956334704,0.012087339703270758,56.934065934065934,0,,0,9.1,2-7-5,0.08228442819074423,2022_02|8120220201030001
2022_02,4420220201010002,2-3-6,0.4,1,1,BANTE+BANTE+RYO,0.01871561778143691,53.431311307920076,0.9451606314905174,0.19849389659699884,0.25915982589647496,0.07408679340569475,3.498056994818653,0,,0,154.4,2-3-6,0.0048503362457821605,2022_02|4420220201010002
