month,race_id,selected_set,actual,trio_odds,parsed_trio_count,bet,hit,stake,pay,source_url
2024_02,4320240201010008,3-4-5,2-1-5,26.3,35,1,0,100,0,https://keirin.kdreams.jp/gifu/racedetail/4320240201010008/?pageType=odds&kakeshikiType=3renhuku
2024_02,4320240201020008,3-5-7,5-1-4,6.2,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240201020008/?pageType=odds&kakeshikiType=3renhuku
2024_02,4320240201010009,1-3-7,7-4-3,27.0,35,1,0,100,0,https://keirin.kdreams.jp/gifu/racedetail/4320240201010009/?pageType=odds&kakeshikiType=3renhuku
2024_02,4320240201030009,2-5-7,7-2-4,9.1,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240201030009/?pageType=odds&kakeshikiType=3renhuku
2024_02,4320240201020010,1-2-4,3-2-4,5.4,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240201020010/?pageType=odds&kakeshikiType=3renhuku
2024_02,4320240201010012,1-4-5,1-4-3,13.1,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240201010012/?pageType=odds&kakeshikiType=3renhuku
2024_02,4320240201020012,1-4-5,5-1-4,1.9,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240201020012/?pageType=odds&kakeshikiType=3renhuku
2024_02,7320240201020001,2-5-7,2-7-6,36.9,35,1,0,100,0,https://keirin.kdreams.jp/komatsushima/racedetail/7320240201020001/?pageType=odds&kakeshikiType=3renhuku
2024_02,7320240201030001,2-5-7,7-3-4,67.4,35,1,0,100,0,https://keirin.kdreams.jp/komatsushima/racedetail/7320240201030001/?pageType=odds&kakeshikiType=3renhuku
2024_02,7320240201020002,2-4-5,1-3-5,25.3,35,1,0,100,0,https://keirin.kdreams.jp/komatsushima/racedetail/7320240201020002/?pageType=odds&kakeshikiType=3renhuku
2024_02,7320240201030002,2-3-7,2-3-6,35.4,35,1,0,100,0,https://keirin.kdreams.jp/komatsushima/racedetail/7320240201030002/?pageType=odds&kakeshikiType=3renhuku
2024_02,7320240201010005,1-3-4,5-1-4,27.3,35,1,0,100,0,https://keirin.kdreams.jp/komatsushima/racedetail/7320240201010005/?pageType=odds&kakeshikiType=3renhuku
2024_02,7320240201020005,1-3-7,1-3-4,5.1,35,0,0,0,0,https://keirin.kdreams.jp/komatsushima/racedetail/7320240201020005/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202020001,1-2-5,2-3-6,2.8,20,0,0,0,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202020001/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202010002,1-3-5,4-5-1,8.0,35,0,0,0,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202010002/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202020002,3-4-7,7-1-3,5.7,35,0,0,0,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202020002/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202010003,1-2-4,7-2-4,25.5,35,1,0,100,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202010003/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202020003,1-2-4,1-2-7,13.1,35,0,0,0,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202020003/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202030003,2-3-7,3-7-4,5.1,35,0,0,0,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202030003/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202010004,3-4-7,4-3-7,27.6,35,1,1,100,2760,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202010004/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202020004,4-5-7,3-5-7,12.2,35,0,0,0,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202020004/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202010005,2-5-7,4-3-1,43.5,35,1,0,100,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202010005/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202020005,1-4-7,1-5-7,6.6,35,0,0,0,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202020005/?pageType=odds&kakeshikiType=3renhuku
2024_02,1320240202030011,1-3-7,4-2-5,23.0,35,1,0,100,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240202030011/?pageType=odds&kakeshikiType=3renhuku
2024_02,7520240203030008,3-4-5,5-4-3,15.6,35,1,1,100,1560,https://keirin.kdreams.jp/matsuyama/racedetail/7520240203030008/?pageType=odds&kakeshikiType=3renhuku
2024_02,7520240203020009,1-3-7,5-7-3,14.9,35,0,0,0,0,https://keirin.kdreams.jp/matsuyama/racedetail/7520240203020009/?pageType=odds&kakeshikiType=3renhuku
2024_02,7520240203010010,1-2-3,7-2-1,7.8,35,0,0,0,0,https://keirin.kdreams.jp/matsuyama/racedetail/7520240203010010/?pageType=odds&kakeshikiType=3renhuku
2024_02,7520240203010011,2-4-5,5-4-1,27.3,35,1,0,100,0,https://keirin.kdreams.jp/matsuyama/racedetail/7520240203010011/?pageType=odds&kakeshikiType=3renhuku
