month,period,race_id,ticket,odds,market_p,actual_hit,return_units,group_score_percentile,trio_mean_delta,unordered_role_set
2024_01,2024_H1,2720240101020002,1-2-3,33.5,0.02234429504435932,0,0.0,0.02857142857142857,4.011904761904764,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101020002,1-3-2,95.4,0.007846267127736239,0,0.0,0.02857142857142857,4.011904761904764,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101020002,2-1-3,123.7,0.006051203589216146,0,0.0,0.02857142857142857,4.011904761904764,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101020002,2-3-1,139.3,0.005373538291357051,0,0.0,0.02857142857142857,4.011904761904764,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101020002,3-1-2,288.2,0.002597272324726014,0,0.0,0.02857142857142857,4.011904761904764,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101020002,3-2-1,222.2,0.003368739351872355,0,0.0,0.02857142857142857,4.011904761904764,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,1-3-6,16.4,0.04558043090384021,0,0.0,0.6,-0.5966666666666592,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,1-6-3,34.7,0.021542336219682403,0,0.0,0.6,-0.5966666666666592,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,3-1-6,40.3,0.01854886021893249,0,0.0,0.6,-0.5966666666666592,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,3-6-1,40.1,0.01864137323748078,0,0.0,0.6,-0.5966666666666592,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,6-1-3,93.0,0.00803783942820408,0,0.0,0.6,-0.5966666666666592,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,6-3-1,79.9,0.009355682938960943,0,0.0,0.6,-0.5966666666666592,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,1-5-6,8.8,0.08494534850261129,0,0.0,0.7,-1.0966666666666594,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,1-6-5,32.4,0.02307157613651171,0,0.0,0.7,-1.0966666666666594,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,5-1-6,20.5,0.03646434472307217,0,0.0,0.7,-1.0966666666666594,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,5-6-1,94.0,0.007952330498116802,0,0.0,0.7,-1.0966666666666594,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,6-1-5,116.1,0.006438579386933501,0,0.0,0.7,-1.0966666666666594,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030002,6-5-1,182.4,0.004098240497933001,0,0.0,0.7,-1.0966666666666594,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,1-2-3,22.0,0.034041623136383786,0,0.0,0.05714285714285714,4.312857142857131,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,1-3-2,13.9,0.053878827985643404,0,0.0,0.05714285714285714,4.312857142857131,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,2-1-3,18.8,0.03983594196810869,0,0.0,0.05714285714285714,4.312857142857131,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,2-3-1,22.6,0.03313786323010811,0,0.0,0.05714285714285714,4.312857142857131,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,3-1-2,12.4,0.06039642814519704,0,0.0,0.05714285714285714,4.312857142857131,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,3-2-1,20.9,0.035833287511982934,0,0.0,0.05714285714285714,4.312857142857131,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,2-3-4,84.3,0.008883934863587703,0,0.0,0.02857142857142857,4.379523809523799,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,2-4-3,135.0,0.005547523770373654,0,0.0,0.02857142857142857,4.379523809523799,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,3-2-4,73.5,0.010189329374155691,0,0.0,0.02857142857142857,4.379523809523799,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,3-4-2,171.2,0.004374507646030627,0,0.0,0.02857142857142857,4.379523809523799,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,4-2-3,278.0,0.0026939413992821703,0,0.0,0.02857142857142857,4.379523809523799,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030004,4-3-2,295.4,0.0025352596784036677,0,0.0,0.02857142857142857,4.379523809523799,BANTE+BANTE+RYO
2024_01,2024_H1,2720240101030011,1-2-4,114.7,0.006533254043549074,0,0.0,0.2571428571428571,0.7276190476190484,BANTE+RYO+RYO
2024_01,2024_H1,2720240101030011,1-4-2,197.1,0.0038019494611622466,0,0.0,0.2571428571428571,0.7276190476190484,BANTE+RYO+RYO
2024_01,2024_H1,2720240101030011,2-1-4,154.0,0.0048660015506173954,0,0.0,0.2571428571428571,0.7276190476190484,BANTE+RYO+RYO
2024_01,2024_H1,2720240101030011,2-4-1,317.6,0.002359459190160827,0,0.0,0.2571428571428571,0.7276190476190484,BANTE+RYO+RYO
2024_01,2024_H1,2720240101030011,4-1-2,460.1,0.0016286986281136247,0,0.0,0.2571428571428571,0.7276190476190484,BANTE+RYO+RYO
2024_01,2024_H1,2720240101030011,4-2-1,532.7,0.0014067284377606135,0,0.0,0.2571428571428571,0.7276190476190484,BANTE+RYO+RYO
2024_01,2024_H1,8520240101010007,1-2-5,263.0,0.0028492357497036515,0,0.0,0.11428571428571428,2.060952380952372,BANTE+BANTE+RYO
2024_01,2024_H1,8520240101010007,1-5-2,197.8,0.0037884176045099105,0,0.0,0.11428571428571428,2.060952380952372,BANTE+BANTE+RYO
2024_01,2024_H1,8520240101010007,2-1-5,436.5,0.0017167216544606194,0,0.0,0.11428571428571428,2.060952380952372,BANTE+BANTE+RYO
2024_01,2024_H1,8520240101010007,2-5-1,431.5,0.0017366141417660724,0,0.0,0.11428571428571428,2.060952380952372,BANTE+BANTE+RYO
2024_01,2024_H1,8520240101010007,5-1-2,190.1,0.0039418674496163085,0,0.0,0.11428571428571428,2.060952380952372,BANTE+BANTE+RYO
2024_01,2024_H1,8520240101010007,5-2-1,168.5,0.004447175087074542,0,0.0,0.11428571428571428,2.060952380952372,BANTE+BANTE+RYO
2024_01,2024_H1,8520240101010007,1-2-6,389.5,0.00192387420326588,0,0.0,0.14285714285714285,1.8109523809523722,BANTE+BANTE+BANTE
2024_01,2024_H1,8520240101010007,1-6-2,521.8,0.0014360847109468385,0,0.0,0.14285714285714285,1.8109523809523722,BANTE+BANTE+BANTE
2024_01,2024_H1,8520240101010007,2-1-6,569.4,0.0013160326697788203,0,0.0,0.14285714285714285,1.8109523809523722,BANTE+BANTE+BANTE
2024_01,2024_H1,8520240101010007,2-6-1,812.5,0.0009222756949809973,0,0.0,0.14285714285714285,1.8109523809523722,BANTE+BANTE+BANTE
2024_01,2024_H1,8520240101010007,6-1-2,862.2,0.0008691127373835077,0,0.0,0.14285714285714285,1.8109523809523722,BANTE+BANTE+BANTE
