race_id,date,venue,race_no,line,target,result_source,head_bust,candidate_sets,orders,bets,bet_odds,actual,set_match,order_match,bet_hit,stake,pay
4220251201020001,2025-12-01,nagoya,1,3-7-5/1-4/2-6,3,monthly,1,4-5-7,7-4-5,7-4-5,144.50,7-5-1,0,0,0,100,0
4220251201030001,2025-12-01,nagoya,1,3-7-5/1-4/2-6,1,monthly,0,2-4-5,4-2-5,4-2-5,62.70,3-4-1,0,0,0,100,0
4220251201010002,2025-12-01,nagoya,2,7-4-1/5-3/2-6,5,monthly,1,1-3-4,3-4-1,3-4-1,99.70,4-3-1,1,0,0,100,0
4220251201020002,2025-12-01,nagoya,2,7-4-1/5-3/2-6,7,monthly,1,1-2-4,1-2-4,1-2-4,65.80,3-1-4,0,0,0,100,0
4220251201010003,2025-12-01,nagoya,3,4-6-1/3-7/5-2,4,monthly,0,2-5-7,7-2-5,7-2-5,62.50,6-1-4,0,0,0,100,0
4220251201020003,2025-12-01,nagoya,3,4-6-1/3-7/5-2,3,monthly,0,4-5-7,7-4-5,7-4-5,92.70,3-7-5,0,0,0,100,0
4220251201030003,2025-12-01,nagoya,3,4-6-1/3-7/5-2,3,monthly,1,1-5-7,5-7-1,5-7-1,56.00,5-2-7,0,0,0,100,0
4220251201010004,2025-12-01,nagoya,4,6-1/3-7/5-2/4,6,monthly,0,1-3-7,3-1-7,3-1-7,251.20,6-3-7,0,0,0,100,0
4220251201030011,2025-12-01,nagoya,11,7-2-6/3-5-1/4,3,monthly,1,1-2-5,1-5-2,1-5-2,42.40,1-6-4,0,0,0,100,0
3520251202010007,2025-12-02,hiratsuka,7,1-5-6/3-4-7/2,3,monthly,0,1-4-7,1-4-7,1-4-7,54.00,3-4-1,0,0,0,100,0
3520251202030007,2025-12-02,hiratsuka,7,1-5-6/3-4-7/2,3,monthly,0,4-5-7,4-5-7,4-5-7,1499.60,6-3-4,0,0,0,100,0
3520251202010008,2025-12-02,hiratsuka,8,7-1/2-6-5/4-3,4,monthly,0,1-3-5|1-3-6,3-1-5|3-1-6,3-1-5|3-1-6,734.80|428.20,4-3-2,0,0,0,200,0
3520251202030008,2025-12-02,hiratsuka,8,7-1/2-6-5/4-3,7,monthly,0,1-2-3|1-2-5,2-1-3|2-1-5,2-1-3|2-1-5,54.80|119.50,3-1-7,0,0,0,200,0
3520251202010009,2025-12-02,hiratsuka,9,1-4-6/2-5-7/3,2,monthly,0,1-5-7|3-5-7,5-1-7|5-7-3,5-1-7|5-7-3,76.20|39.00,2-5-7,0,0,0,200,0
3520251202020009,2025-12-02,hiratsuka,9,1-4-6/2-5-7/3,1,monthly,1,2-3-4,2-3-4,2-3-4,133.00,3-2-7,0,0,0,100,0
3520251202010011,2025-12-02,hiratsuka,11,5-1/7-2/4-3-6,4,monthly,0,3-6-7,3-7-6,3-7-6,51.00,5-4-7,0,0,0,100,0
3120251202010002,2025-12-02,matsudo,2,6-1/4-5-2/7-3,4,monthly,0,2-3-5,5-3-2,5-3-2,136.10,3-4-2,0,0,0,100,0
3120251202010003,2025-12-02,matsudo,3,1-5-6/7-2/4-3,1,monthly,0,3-5-7,5-3-7,5-3-7,100.20,5-1-3,0,0,0,100,0
3120251202030003,2025-12-02,matsudo,3,1-5-6/7-2/4-3,1,monthly,0,2-3-5,3-5-2,3-5-2,47.90,1-3-4,0,0,0,100,0
3120251202010005,2025-12-02,matsudo,5,7-4-1/2/3-5/6,7,monthly,1,1-4-5,4-5-1,4-5-1,147.50,5-1-3,0,0,0,100,0
5620251203010004,2025-12-03,kishiwada,4,3-1-7/4-2/6-5,3,monthly,1,1-2-7,1-2-7,1-2-7,54.20,7-1-5,0,0,0,100,0
5620251203020005,2025-12-03,kishiwada,5,3-1-6/4-2-5/7,3,monthly,1,1-2-6|1-5-6,1-2-6|1-6-5,1-2-6|1-6-5,55.80|90.80,1-6-7,0,0,0,200,0
5620251203010006,2025-12-03,kishiwada,6,2-1/4-6/5-3-7,2,monthly,0,1-3-4|1-3-5,1-3-4|1-3-5,1-3-4|1-3-5,67.80|70.30,3-2-4,0,0,0,200,0
5620251203010007,2025-12-03,kishiwada,7,5-3-4/2-1-6-7,2,monthly,1,1-3-4,1-3-4,1-3-4,107.00,3-5-1,0,0,0,100,0
5620251203020007,2025-12-03,kishiwada,7,5-3-4/2-1-6-7,2,monthly,0,1-3-4,1-3-4,1-3-4,52.50,2-1-5,0,0,0,100,0
5620251203030007,2025-12-03,kishiwada,7,5-3-4/2-1-6-7,2,monthly,0,1-3-6,1-3-6,1-3-6,141.20,2-6-3,0,0,0,100,0
5620251203020008,2025-12-03,kishiwada,8,1-3-6/7-2/4-5,1,monthly,0,2-3-5,3-2-5,3-2-5,66.70,2-3-1,0,0,0,100,0
5620251203010009,2025-12-03,kishiwada,9,1-3/4/6-5/2-7,1,monthly,0,3-5-7,3-5-7,3-5-7,408.70,2-3-1,0,0,0,100,0
5620251203020009,2025-12-03,kishiwada,9,1-3/4/6-5/2-7,1,monthly,0,2-3-5,3-2-5,3-2-5,202.20,3-1-2,0,0,0,100,0
5620251203030009,2025-12-03,kishiwada,9,1-3/4/6-5/2-7,1,monthly,1,3-5-7,3-5-7,3-5-7,159.50,3-7-4,0,0,0,100,0
8120251203010003,2025-12-03,kokura,3,3-1-5/6/4-2/7,3,monthly,0,1-2-5,1-2-5,1-2-5,106.90,1-3-5,0,0,0,100,0
8120251203030003,2025-12-03,kokura,3,3-1-5/6/4-2/7,3,monthly,1,1-2-5,1-2-5,1-2-5,52.50,7-6-1,0,0,0,100,0
