month,race_id,trio_key,group_score_percentile,role_ok,top3_spread,unordered_role_set,group_market_p,effective_group_odds,entropy_norm,hhi,rank1_conditional_share,rank6_conditional_share,rank1_to_rank6_share_ratio,group_hit,winner_odds_rank,rank1_exact_hit,rank1_posted_odds,rank1_order,rank1_exact_market_p,race_uid,year,half_year,odds_band,score_band
2024_01,3520240101020001,1-4-5,0.3428571428571428,1,0,BANTE+BANTE+RYO,0.0051417798466804,194.48518408379613,0.8136009877417926,0.2903194769572474,0.450624739629031,0.0417804641905193,10.785536933581628,0,,0,322.2,1-4-5,0.0023170132046401544,2024_01|3520240101020001,2024,2024_H1,GE200,30_TO_40
2024_01,3520240101030001,3-4-5,0.3714285714285714,1,0,BANTE+BANTE+BANTE,0.0107730517133409,92.82420864662124,0.987819823393696,0.1739124650826358,0.222312690000748,0.1210502471594388,1.8365323096609083,0,,0,312.6,5-3-4,0.0023949861059099826,2024_01|3520240101030001,2024,2024_H1,GE200,30_TO_40
2024_01,3520240101010003,1-2-3,0.3142857142857143,1,0,BANTE+BANTE+BANTE,0.0055929467152319,178.79662562787902,0.9331378771987666,0.2055864877917423,0.2934310848897402,0.0736810044069357,3.982452292169335,0,,0,455.9,1-3-2,0.0016411444223810052,2024_01|3520240101010003,2024,2024_H1,GE200,30_TO_40
2024_01,3520240101010003,1-2-7,0.4,1,0,BANTE+BANTE+RYO,0.0085615285608783,116.80157262681708,0.8956127089788447,0.2325634547424155,0.3559701544624488,0.053505585575541,6.652953156822808,0,,0,245.5,7-1-2,0.003047648644250515,2024_01|3520240101010003,2024,2024_H1,GE200,30_TO_40
2024_01,3520240101030003,1-2-3,0.0285714285714285,1,1,BANTE+BANTE+BANTE,0.0187945780772727,53.20683422040981,0.9861368590875198,0.1751315618742938,0.2260227825885844,0.1186266553068321,1.9053287981859413,0,,0,176.4,1-2-3,0.004248002834603582,2024_01|3520240101030003,2024,2024_H1,100_TO_200,TOP10
2024_01,3520240101030003,1-3-5,0.2285714285714285,1,1,BANTE+BANTE+RYO,0.0093116601447728,107.39223558984338,0.998548627290512,0.1675147256574218,0.1807188967879915,0.144167188713172,1.2535369413878283,0,,0,445.3,1-5-3,0.0016827929486280498,2024_01|3520240101030003,2024,2024_H1,GE200,20_TO_30
2024_01,3520240101040003,1-2-3,0.0857142857142857,1,0,BANTE+BANTE+RYO,0.019357185438882,51.6604029628883,0.8048592239422357,0.2894031201785287,0.4275785363255127,0.0380041814353357,11.250828729281766,0,,0,90.5,3-1-2,0.008276717017338692,2024_01|3520240101040003,2024,2024_H1,50_TO_100,TOP10
2024_01,3520240101010004,1-5-7,0.3428571428571428,1,0,BANTE+BANTE+BANTE,0.0028254366268565,353.9275984797296,0.9399497482879278,0.2041811008113498,0.2968884908325916,0.0843728272361339,3.5187690226581,0,,0,887.1,1-5-7,0.0008388396160905546,2024_01|3520240101010004,2024,2024_H1,GE200,30_TO_40
2024_01,3520240101020004,1-5-7,0.3142857142857143,1,1,BANTE+BANTE+RYO,0.0085165748853881,117.41809512127878,0.983886599560954,0.1766052097868181,0.23774271999773,0.1248090072679132,1.90485226348604,0,,0,368.9,5-1-7,0.0020247536783165225,2024_01|3520240101020004,2024,2024_H1,GE200,30_TO_40
2024_01,3520240101030004,1-5-7,0.0571428571428571,1,0,BANTE+BANTE+RYO,0.055048083411515,18.165936723435827,0.9226209009491412,0.2124979649051729,0.2948629074218898,0.0664053738746904,4.440347071583514,0,,0,46.1,1-7-5,0.016231637922722017,2024_01|3520240101030004,2024,2024_H1,30_TO_50,TOP10
2024_01,3520240101040004,1-5-7,0.2285714285714285,1,1,BANTE+BANTE+BANTE,0.0062823411794777,159.1763279693665,0.906173976936028,0.2251982529883236,0.3364497051549881,0.0695581853837075,4.836953455571227,0,,0,354.5,1-7-5,0.0021136918375183125,2024_01|3520240101040004,2024,2024_H1,GE200,20_TO_30
2024_01,3520240101010005,2-3-7,0.0857142857142857,1,0,BANTE+BANTE+BANTE,0.0071773291449328,139.32759384540614,0.9880316137835626,0.1735808876636689,0.2095656377104754,0.1215832335306988,1.7236392849969877,0,,0,497.9,2-7-3,0.0015041215593158232,2024_01|3520240101010005,2024,2024_H1,GE200,TOP10
2024_01,3520240101010005,3-4-7,0.3714285714285714,1,0,BANTE+BANTE+RYO,0.003587604518019,278.73752387628537,0.9902977430377782,0.1726094531480609,0.2248461048861545,0.1247815911150133,1.8019172770357603,0,,0,928.4,7-3-4,0.0008066589017485419,2024_01|3520240101010005,2024,2024_H1,GE200,30_TO_40
2024_01,3520240101030005,2-3-7,0.2,1,0,BANTE+BANTE+RYO,0.0444397711918038,22.502366082938632,0.7269738197136195,0.3261686281177254,0.448705797649465,0.0166105085935761,27.013368983957218,1,2.0,0,37.4,3-7-2,0.01994038297997804,2024_01|3520240101030005,2024,2024_H1,30_TO_50,10_TO_20
2024_01,2720240101010002,1-2-3,0.1428571428571428,1,0,BANTE+BANTE+BANTE,0.0132427337174899,75.51310940272715,0.8910618439980196,0.2290758818961275,0.304239196160155,0.0505161111650042,6.022617124394185,0,,0,185.7,2-1-3,0.004028958661172108,2024_01|2720240101010002,2024,2024_H1,100_TO_200,10_TO_20
2024_01,2720240101010002,1-3-7,0.2,1,0,BANTE+BANTE+RYO,0.0055689135669361,179.56823857659154,0.9204610450190462,0.2141209310103702,0.3174596833003458,0.0644266714490511,4.927457466918715,0,,0,423.2,1-7-3,0.0017679055372865331,2024_01|2720240101010002,2024,2024_H1,GE200,10_TO_20
2024_01,2720240101020002,1-2-3,0.0285714285714285,1,1,BANTE+BANTE+RYO,0.0475813157292671,21.01665295869284,0.8410431315278244,0.2846390774586935,0.46960229455394,0.054585971087984,8.602985074626863,0,,0,33.5,1-2-3,0.022344295044359305,2024_01|2720240101020002,2024,2024_H1,30_TO_50,TOP10
2024_01,2720240101030004,1-2-3,0.0571428571428571,1,1,BANTE+BANTE+RYO,0.257123971977424,3.889174518849616,0.9839790356219468,0.1766457421892548,0.2348922493718321,0.12887893328366,1.8225806451612905,0,,0,12.4,3-1-2,0.06039642814519704,2024_01|2720240101030004,2024,2024_H1,LT30,TOP10
2024_01,2720240101030004,2-3-4,0.0285714285714285,1,1,BANTE+BANTE+RYO,0.0342244967318335,29.21883725085903,0.9273427292215064,0.2103129246531872,0.2977203566788524,0.0740773399319419,4.019047619047618,0,,0,73.5,3-2-4,0.010189329374155686,2024_01|2720240101030004,2024,2024_H1,50_TO_100,TOP10
2024_01,2720240101030011,1-2-4,0.2571428571428571,1,1,BANTE+RYO+RYO,0.0205960913113637,48.55290185319073,0.920410005411894,0.2145568373602874,0.3172084423583997,0.0683007477726834,4.644289450741063,0,,0,114.7,1-2-4,0.0065332540435490485,2024_01|2720240101030011,2024,2024_H1,100_TO_200,20_TO_30
2024_01,8520240101020003,1-2-5,0.15,1,0,BANTE+RYO+RYO,0.0482040713872821,20.74513565391146,0.973228677278238,0.181495894989275,0.227393663301163,0.0903471906114889,2.5168869309838477,0,,0,68.1,1-2-5,0.010961300378784853,2024_01|8520240101020003,2024,2024_H1,50_TO_100,10_TO_20
2024_01,8520240101020003,1-2-6,0.3,1,0,BANTE+BANTE+RYO,0.0062800445655309,159.23453879430423,0.8426992351946054,0.2682572603195806,0.3854180910128133,0.0602875528851448,6.392996108949416,0,,0,308.4,1-2-6,0.002420442787922312,2024_01|8520240101020003,2024,2024_H1,GE200,20_TO_30
2024_01,8520240101020003,1-3-5,0.25,1,0,BANTE+BANTE+RYO,0.0316408906297906,31.604672943639425,0.8026405014755891,0.2922593437465048,0.4212815741058557,0.038404310841491,10.969642857142857,0,,0,56.0,5-3-1,0.013329724210629404,2024_01|8520240101020003,2024,2024_H1,50_TO_100,20_TO_30
2024_01,8520240101010004,1-3-4,0.0857142857142857,1,0,BANTE+BANTE+RYO,0.0124243759257426,80.48694002634412,0.9049021797623656,0.2266927122597538,0.3325578245877038,0.0695917286237347,4.77869757174393,0,,0,181.2,1-4-3,0.004131823429724797,2024_01|8520240101010004,2024,2024_H1,100_TO_200,TOP10
2024_01,8520240101010004,2-3-4,0.1142857142857142,1,0,BANTE+BANTE+BANTE,0.0062946393995299,158.86533549081085,0.9898374779592144,0.1726209271647333,0.2108123307015006,0.1213305283910912,1.7375044310528178,0,,0,564.2,2-4-3,0.0013269876027403925,2024_01|8520240101010004,2024,2024_H1,GE200,10_TO_20
2024_01,8520240101010007,1-2-5,0.1142857142857142,1,1,BANTE+BANTE+RYO,0.0184800316871311,54.11246132745366,0.9646647015377104,0.1866668799807407,0.2406475899157365,0.0928960341370025,2.5905044510385755,0,,0,168.5,5-2-1,0.004447175087074541,2024_01|8520240101010007,2024,2024_H1,100_TO_200,10_TO_20
2024_01,8520240101010007,1-2-6,0.1428571428571428,1,1,BANTE+BANTE+BANTE,0.0071910391203367,139.0619607633515,0.9683884221117068,0.1861344205383166,0.2675377189681839,0.1006334539238123,2.658536585365853,0,,0,389.5,1-2-6,0.0019238742032658563,2024_01|8520240101010007,2024,2024_H1,GE200,10_TO_20
2024_01,8520240101020007,1-2-6,0.1142857142857142,1,1,BANTE+BANTE+RYO,0.1979509954401436,5.051755348724072,0.6163977398891395,0.417730000278476,0.5646080534742267,0.0121753265474004,46.3731343283582,0,,0,6.7,2-1-6,0.111764726218745,2024_01|8520240101020007,2024,2024_H1,LT30,10_TO_20
2024_01,8520240101030007,1-2-5,0.1142857142857142,1,1,BANTE+BANTE+RYO,0.0058846383154894,169.9339783326714,0.9583312665012474,0.1917766157906388,0.2811720114266074,0.0864322381357554,3.2530918727915195,0,,0,452.8,1-2-5,0.0016545955916842374,2024_01|8520240101030007,2024,2024_H1,GE200,10_TO_20
2024_01,8520240101030007,1-2-6,0.2,1,1,BANTE+BANTE+BANTE,0.0164651371332302,60.73438635271246,0.9729253431814175,0.1824916328724788,0.2291150852943863,0.1058684409945675,2.1641490433031216,0,,0,198.6,2-6-1,0.003772411298663804,2024_01|8520240101030007,2024,2024_H1,100_TO_200,10_TO_20
2024_01,2420240101010011,1-3-4,0.3714285714285714,1,0,BANTE+BANTE+RYO,0.0027952514898887,357.7495633638992,0.966832945310112,0.1867914575100033,0.2576950810570713,0.1028331678473715,2.5059529571193497,0,,0,1033.1,4-1-3,0.0007203225592617678,2024_01|2420240101010011,2024,2024_H1,GE200,30_TO_40
2024_01,8620240103010002,1-6-7,0.3142857142857143,1,1,BANTE+RYO+RYO,0.0144071336768844,69.41005910179426,0.8785494729627613,0.2433537819405098,0.3783723549352797,0.0627950733000125,6.025510204081634,0,,0,137.2,1-7-6,0.0054512610971901255,2024_01|8620240103010002,2024,2024_H1,100_TO_200,30_TO_40
2024_01,8620240103030011,3-4-7,0.1428571428571428,1,0,BANTE+BANTE+RYO,0.0031534068234385,317.11734514152886,0.9626114345866909,0.1895628513909293,0.2612331763099208,0.0981566825724983,2.6613896218117854,0,,0,909.6,3-7-4,0.0008237744806842171,2024_01|8620240103030011,2024,2024_H1,GE200,10_TO_20
2024_02,1320240202010001,1-2-3,0.25,1,0,BANTE+BANTE+BANTE,0.0276262283312607,36.1974855202525,0.8871376921999932,0.2426314255816375,0.3925616564697016,0.0647999476060432,6.058055152394775,0,,0,68.9,1-2-3,0.0108449979557299,2024_02|1320240202010001,2024,2024_H1,50_TO_100,20_TO_30
2024_02,1320240202020001,1-2-3,0.25,1,0,BANTE+BANTE+RYO,0.088431645909132,11.308169035183967,0.9646267093250628,0.1867122013573557,0.2486335739462662,0.0765026381373127,3.25,0,,0,34.0,2-1-3,0.0219870761723382,2024_02|1320240202020001,2024,2024_H1,30_TO_50,20_TO_30
2024_02,1320240202010003,1-3-5,0.3428571428571428,1,0,BANTE+BANTE+RYO,0.0120752649477821,82.8139178994716,0.8779047789951717,0.2446948566682023,0.3566380159944516,0.0610515329618743,5.841589861751151,0,,0,173.6,1-5-3,0.0043064985335843535,2024_02|1320240202010003,2024,2024_H1,100_TO_200,30_TO_40
2024_02,1320240202020003,1-2-3,0.1142857142857142,1,0,BANTE+BANTE+RYO,0.0686718949559869,14.561998043608943,0.9556006382519112,0.1935658599637443,0.2863908032739223,0.0811263167638397,3.5301837270341214,0,,0,38.1,2-3-1,0.0196669991587875,2024_02|1320240202020003,2024,2024_H1,30_TO_50,10_TO_20
2024_02,1320240202030003,3-5-7,0.2,1,0,BANTE+BANTE+RYO,0.0635649632628892,15.73193703997346,0.784524918990132,0.3013725648269112,0.3981641042487082,0.0384900636373669,10.344594594594591,0,,0,29.6,3-7-5,0.02530928665917032,2024_02|1320240202030003,2024,2024_H1,LT30,10_TO_20
2024_02,1320240202010005,2-3-5,0.3428571428571428,1,1,BANTE+RYO+RYO,0.0180754918341343,55.32352918395117,0.986943430572343,0.1746323525460651,0.2298414349620569,0.1251914096230527,1.835920177383592,0,,0,180.4,5-3-2,0.004154496980802369,2024_02|1320240202010005,2024,2024_H1,100_TO_200,30_TO_40
2024_02,1320240202010005,2-5-7,0.0857142857142857,1,1,BANTE+RYO+RYO,0.0161553919108343,61.898838822310935,0.993604568084214,0.1704567686520366,0.208407010045123,0.1259609026229822,1.6545372866127588,0,,0,222.6,5-7-2,0.0033668969242441425,2024_02|1320240202010005,2024,2024_H1,GE200,TOP10
2024_02,1320240202030011,1-2-4,0.3714285714285714,1,0,BANTE+BANTE+RYO,0.0212905151159478,46.96927221131161,0.9546014087769024,0.1944905289886866,0.2733250117664546,0.0929608173105871,2.940217391304348,0,,0,128.8,4-1-2,0.005819230294580311,2024_02|1320240202030011,2024,2024_H1,100_TO_200,30_TO_40
2024_02,1320240202030011,2-4-7,0.1142857142857142,1,0,BANTE+RYO+RYO,0.0270112862920922,37.02156162377051,0.9627447862693488,0.1901122061854633,0.2627678474662772,0.1082648641921142,2.427083333333333,0,,0,105.6,4-7-2,0.007097697556268427,2024_02|1320240202030011,2024,2024_H1,100_TO_200,10_TO_20
2024_02,7520240203010009,1-2-3,0.2857142857142857,1,0,BANTE+RYO+RYO,0.0082310556462477,121.49109943824392,0.9361937128588128,0.2074198676010027,0.3131971232834448,0.0954383155729609,3.2816706938211944,0,,0,289.7,3-2-1,0.0025779429499907356,2024_02|7520240203010009,2024,2024_H1,GE200,20_TO_30
2024_02,7520240203010009,2-3-4,0.3714285714285714,1,0,BANTE+BANTE+RYO,0.003464363332443,288.653326467006,0.8937119559892555,0.234690565197892,0.3694515591519126,0.0713328429784391,5.1792630676949445,0,,0,583.5,3-2-4,0.001279914434639782,2024_02|7520240203010009,2024,2024_H1,GE200,30_TO_40
2024_02,7520240203020012,1-3-5,0.0857142857142857,1,1,BANTE+RYO+RYO,0.0820753481561524,12.183926385514072,0.730028966950942,0.3363243478764159,0.4986035267082252,0.0163227988171029,30.54644808743169,0,,0,18.3,1-5-3,0.04092305804646302,2024_02|7520240203020012,2024,2024_H1,LT30,TOP10
2024_02,5320240203010008,2-3-6,0.3142857142857143,1,0,BANTE+BANTE+BANTE,0.0018813222761675,531.5410403990578,0.8841611774310973,0.2409918496988613,0.3835030668842801,0.0568550001255016,6.745283018867925,0,,0,1028.2,2-3-6,0.0007214928627079509,2024_02|5320240203010008,2024,2024_H1,GE200,30_TO_40
2024_03,8620240301010001,1-2-7,0.1714285714285714,1,0,BANTE+BANTE+BANTE,0.0202056311970817,49.491153740568414,0.9088016502194494,0.2209212533789259,0.3290965857230223,0.0647723746764766,5.08081705150977,0,,0,112.6,1-7-2,0.006649604239338172,2024_03|8620240301010001,2024,2024_H1,100_TO_200,10_TO_20
2024_03,8620240301010002,1-3-4,0.2571428571428571,1,0,BANTE+BANTE+BANTE,0.0159831894477975,62.56573528494345,0.877611038951813,0.2420503099871271,0.3651607097216755,0.0565959399097499,6.452065471551051,0,,0,128.3,1-3-4,0.00583643280237373,2024_03|8620240301010002,2024,2024_H1,100_TO_200,20_TO_30
2024_03,8620240301010002,1-4-5,0.2857142857142857,1,0,BANTE+BANTE+RYO,0.0193368402653662,51.71475723420424,0.8837023489069303,0.2385319098943003,0.366018442478025,0.0561065650741452,6.523629489603025,0,,0,105.8,1-5-4,0.007077640156375696,2024_03|8620240301010002,2024,2024_H1,100_TO_200,20_TO_30
2024_03,8620240301010006,1-2-7,0.2571428571428571,1,0,BANTE+BANTE+RYO,0.005354108009328,186.77247419323308,0.9658222736939196,0.1883323839691179,0.2659672002077173,0.1155935223801879,2.300883256528418,0,,0,520.8,7-1-2,0.0014240171168506829,2024_03|8620240301010006,2024,2024_H1,GE200,20_TO_30
2024_03,8620240301010006,1-4-7,0.3142857142857143,1,0,BANTE+BANTE+BANTE,0.0022152568138154,451.41493020741245,0.895215751373283,0.2392737425561989,0.3939075226814179,0.0732805085973376,5.375338275091187,0,,0,849.9,7-1-4,0.0008726063236331553,2024_03|8620240301010006,2024,2024_H1,GE200,30_TO_40
2024_03,8620240301030006,1-4-7,0.2,1,0,BANTE+BANTE+RYO,0.0235391282582817,42.482456827948624,0.9413487714974555,0.2030196511985649,0.3045612846829921,0.0795700653676285,3.827586206896551,0,,0,104.4,1-4-7,0.007169107142659997,2024_03|8620240301030006,2024,2024_H1,100_TO_200,10_TO_20
2024_03,4320240301010008,1-2-3,0.3142857142857143,1,0,BANTE+BANTE+BANTE,0.0047845723434553,209.00509558975665,0.903671196907576,0.2225303818163963,0.3153320000855901,0.0568177161557472,5.549888686500707,0,,0,494.1,1-3-2,0.0015087287666159586,2024_03|4320240301010008,2024,2024_H1,GE200,30_TO_40
2024_03,4320240301010008,1-3-6,0.3714285714285714,1,0,BANTE+BANTE+RYO,0.0043835396882087,228.1261425988453,0.9313967536637564,0.2092152537372573,0.2868267365202376,0.0868226742649966,3.303592511384719,0,,0,592.9,1-3-6,0.0012573163831758412,2024_03|4320240301010008,2024,2024_H1,GE200,30_TO_40
2024_03,4320240301020008,1-2-3,0.1428571428571428,1,0,BANTE+BANTE+RYO,0.012059829743957,82.91991025006644,0.934256618309494,0.2078504396551989,0.3113206717362289,0.0785880941931849,3.9614228456913834,0,,0,199.6,2-3-1,0.0037544742969132464,2024_03|4320240301020008,2024,2024_H1,100_TO_200,10_TO_20
2024_03,4320240301020008,2-3-5,0.1142857142857142,1,0,BANTE+BANTE+RYO,0.0719649051139825,13.895662037157384,0.8178949208070735,0.2794387355634251,0.4250331766954005,0.0392510849191003,10.828571428571427,0,,0,24.5,2-5-3,0.030587472231179056,2024_03|4320240301020008,2024,2024_H1,LT30,10_TO_20
2024_03,4320240301010009,1-2-3,0.3428571428571428,1,0,BANTE+BANTE+RYO,0.0096494059521617,103.63332260634924,0.979454083632484,0.1784860939006418,0.2238488842705387,0.0980116514504405,2.283900750144258,0,,0,346.6,1-3-2,0.0021600087562648916,2024_03|4320240301010009,2024,2024_H1,GE200,30_TO_40
