month,race_id,selected_set,actual,trio_odds,parsed_trio_count,bet,hit,stake,pay,source_url
2024_03,8620240301010001,2-5-7,2-5-1,20.0,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240301010001/?pageType=odds&kakeshikiType=3renhuku
2024_03,8620240301020001,2-3-4,1-4-5,209.8,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240301020001/?pageType=odds&kakeshikiType=3renhuku
2024_03,8620240301010002,1-3-5,3-7-6,4.6,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240301010002/?pageType=odds&kakeshikiType=3renhuku
2024_03,8620240301030002,2-3-7,4-1-2,11.8,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240301030002/?pageType=odds&kakeshikiType=3renhuku
2024_03,8620240301020003,1-3-4,7-6-3,8.0,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240301020003/?pageType=odds&kakeshikiType=3renhuku
2024_03,8620240301010004,1-3-7,1-4-2,11.2,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240301010004/?pageType=odds&kakeshikiType=3renhuku
2024_03,8620240301030006,1-5-7,3-5-1,12.5,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240301030006/?pageType=odds&kakeshikiType=3renhuku
2024_03,8620240301010007,1-2-7,1-5-4,6.2,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240301010007/?pageType=odds&kakeshikiType=3renhuku
2024_03,4320240301030005,1-4-5,2-5-6,8.7,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240301030005/?pageType=odds&kakeshikiType=3renhuku
2024_03,4320240301010008,1-3-4,7-1-5,10.8,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240301010008/?pageType=odds&kakeshikiType=3renhuku
2024_03,4320240301020008,2-4-7,4-7-5,6.5,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240301020008/?pageType=odds&kakeshikiType=3renhuku
2024_03,4320240301030009,1-2-7,1-2-7,20.7,35,1,1,100,2070,https://keirin.kdreams.jp/gifu/racedetail/4320240301030009/?pageType=odds&kakeshikiType=3renhuku
2024_03,4320240301010010,2-3-4,5-7-4,40.3,35,1,0,100,0,https://keirin.kdreams.jp/gifu/racedetail/4320240301010010/?pageType=odds&kakeshikiType=3renhuku
2024_03,4320240301020010,1-3-5,7-4-2,68.5,35,1,0,100,0,https://keirin.kdreams.jp/gifu/racedetail/4320240301020010/?pageType=odds&kakeshikiType=3renhuku
2024_03,4320240301030012,3-5-7,6-1-4,7.8,35,0,0,0,0,https://keirin.kdreams.jp/gifu/racedetail/4320240301030012/?pageType=odds&kakeshikiType=3renhuku
2024_03,1320240301010001,1-3-4,4-7-3,6.7,35,0,0,0,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240301010001/?pageType=odds&kakeshikiType=3renhuku
2024_03,1320240301020001,3-5-7,1-7-5,25.2,35,1,0,100,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240301020001/?pageType=odds&kakeshikiType=3renhuku
2024_03,1320240301030001,2-3-4,4-5-1,32.8,20,1,0,100,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240301030001/?pageType=odds&kakeshikiType=3renhuku
2024_03,1320240301030002,2-4-6,5-1-2,63.7,20,1,0,100,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240301030002/?pageType=odds&kakeshikiType=3renhuku
2024_03,1320240301010003,3-5-7,4-3-7,20.0,35,1,0,100,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240301010003/?pageType=odds&kakeshikiType=3renhuku
2024_03,1320240301020003,2-3-5,3-7-5,9.3,35,0,0,0,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240301020003/?pageType=odds&kakeshikiType=3renhuku
2024_03,1320240301020004,3-4-5,4-3-7,7.1,35,0,0,0,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240301020004/?pageType=odds&kakeshikiType=3renhuku
2024_03,1320240301030004,3-5-6,4-3-7,45.9,35,1,0,100,0,https://keirin.kdreams.jp/iwakitaira/racedetail/1320240301030004/?pageType=odds&kakeshikiType=3renhuku
2024_03,2520240301010001,1-2-5,2-1-3,9.2,35,0,0,0,0,https://keirin.kdreams.jp/omiya/racedetail/2520240301010001/?pageType=odds&kakeshikiType=3renhuku
