month,race_id,target,head_bust,candidate_sets,actual,set_match,eligible_count,pick,pick_odds,bet,hit,stake,pay
2024_07,8620240701020001,7,1,2-4-5,5-4-1,0,6,2-4-5,36.6,1,0,100,0
2024_07,8620240701030001,5,1,1-4-7,6-1-2,0,6,1-4-7,128.7,1,0,100,0
2024_07,8620240701010003,3,0,1-5-7|1-4-7,5-1-3,0,11,1-5-7,51.1,1,0,100,0
2024_07,8620240701020003,5,0,1-2-3,5-2-4,0,6,1-2-3,1240.7,1,0,100,0
2024_07,8620240701010004,5,0,1-2-3,1-5-3,0,6,3-2-1,292.2,1,0,100,0
2024_07,8620240701030004,1,1,4-5-7,7-4-2,0,6,7-4-5,229.4,1,0,100,0
2024_07,8620240701010005,3,0,1-2-7,1-6-3,0,6,2-1-7,632.1,1,0,100,0
2024_07,8620240701030005,4,1,1-2-3,1-3-2,1,6,1-2-3,65.7,1,0,100,0
2024_07,8620240701010007,5,1,2-4-7,7-6-1,0,6,7-2-4,50.1,1,0,100,0
2024_07,8620240701020007,7,1,,1-3-4,0,0,,,0,0,0,0
2024_07,8620240701030007,5,0,1-2-7,5-1-7,0,6,2-1-7,78.4,1,0,100,0
2024_07,3720240701010001,2,1,1-4-5|1-4-6,1-4-5,1,11,1-4-5,48.1,1,1,100,4810
2024_07,3720240701020001,2,0,1-4-5,1-7-2,0,6,4-1-5,551.6,1,0,100,0
2024_07,3720240701020002,1,1,2-3-4,2-3-7,0,5,3-2-4,62.1,1,0,100,0
2024_07,3720240701030002,1,0,,3-1-4,0,0,,,0,0,0,0
2024_07,3720240701020003,1,0,2-3-4,2-1-3,0,6,3-4-2,42.2,1,0,100,0
2024_07,3720240701030004,2,0,1-4-6,1-7-2,0,6,1-6-4,95.7,1,0,100,0
2024_07,3720240701020005,7,1,1-3-4,2-5-6,0,6,1-4-3,37.1,1,0,100,0
2024_07,3720240701010007,3,0,1-2-7,4-3-5,0,6,2-1-7,369.7,1,0,100,0
2024_07,3720240701020007,7,0,1-2-3,2-1-7,0,2,3-2-1,33.8,1,0,100,0
2024_07,3720240701030007,7,1,1-2-5,3-5-1,0,6,5-2-1,166.7,1,0,100,0
2024_07,4520240701030001,4,1,2-3-7,1-2-3,0,6,7-2-3,143.3,1,0,100,0
2024_07,4520240701010002,4,0,1-5-7|5-6-7,4-5-7,0,12,5-7-1,118.7,1,0,100,0
2024_07,4520240701020002,4,1,1-5-7,5-1-2,0,4,5-7-1,78.0,1,0,100,0
2024_07,4520240701020004,2,1,1-3-5,6-3-5,0,5,1-5-3,30.9,1,0,100,0
2024_07,2420240703010001,3,0,,3-7-6,0,0,,,0,0,0,0
2024_07,2420240703030002,5,1,1-3-4,3-1-4,1,5,3-4-1,45.7,1,0,100,0
2024_07,2420240703020003,1,0,3-5-7|4-5-7,7-1-2,0,10,7-5-3,38.2,1,0,100,0
2024_07,2420240703020004,7,1,1-3-5,1-5-3,1,2,5-3-1,33.6,1,0,100,0
2024_07,2420240703030004,2,0,1-5-7|4-5-7,7-2-5,0,12,7-1-5,78.4,1,0,100,0
2024_07,2420240703010005,3,0,1-2-7,3-1-7,0,6,2-7-1,64.0,1,0,100,0
2024_07,2420240703020005,7,0,2-3-4|2-4-5,3-7-4,0,10,4-2-5,39.4,1,0,100,0
2024_07,2420240703030011,4,0,1-3-7,5-4-3,0,6,3-7-1,48.1,1,0,100,0
2024_07,1220240704010001,6,0,3-5-7,3-5-6,0,3,7-5-3,43.5,1,0,100,0
2024_07,1220240704020001,6,1,,2-5-1,0,0,,,0,0,0,0
2024_07,1220240704030001,5,0,,2-5-3,0,0,,,0,0,0,0
2024_07,1220240704010002,5,0,2-4-7,2-5-7,0,6,2-7-4,30.2,1,0,100,0
2024_07,1220240704010003,1,0,3-4-7,1-3-7,0,6,3-7-4,76.3,1,0,100,0
