month,race_id,trio,ticket,odds,market_p,actual_hit,score_order,winner_score_rank,line_pos_order,winner_line_pos,running_style_order,winner_running_style,escape_count,winner_is_escape,winner_score_rank_x_line_pos,group_score_percentile
2025_01,1320250104010002,2-3-7,3-7-2,956.7,0.0007831606045154495,0,3-1-2,3,2-2-2,2,追-追-両,追,0,0,3x2,0.11428571428571428
2025_01,1320250104010002,2-3-7,7-2-3,240.0,0.003121873959749711,0,1-2-3,1,2-2-2,2,追-両-追,追,0,0,1x2,0.11428571428571428
2025_01,1320250104010002,2-3-7,7-3-2,583.5,0.001284061268791655,0,1-3-2,1,2-2-2,2,追-追-両,追,0,0,1x2,0.11428571428571428
2025_01,1320250104010002,2-4-7,2-4-7,115.1,0.006509554737966383,0,2-3-1,2,2-1-2,2,両-逃-追,両,1,0,2x2,0.17142857142857143
2025_01,1320250104010002,2-4-7,2-7-4,83.5,0.00897305090227462,0,2-1-3,2,2-2-1,2,両-追-逃,両,1,0,2x2,0.17142857142857143
2025_01,1320250104010002,2-4-7,4-2-7,472.7,0.0015850428397290684,0,3-2-1,3,1-2-2,1,逃-両-追,逃,1,1,3x1,0.17142857142857143
2025_01,1320250104010002,2-4-7,4-7-2,599.4,0.0012499995834833679,0,3-1-2,3,1-2-2,1,逃-追-両,逃,1,1,3x1,0.17142857142857143
2025_01,1320250104010002,2-4-7,7-2-4,102.7,0.0072955185037967924,0,1-2-3,1,2-2-1,2,追-両-逃,追,1,0,1x2,0.17142857142857143
2025_01,1320250104010002,2-4-7,7-4-2,331.1,0.002262910753065329,0,1-3-2,1,2-1-2,2,追-逃-両,追,1,0,1x2,0.17142857142857143
2025_01,1320250104010002,2-5-7,2-5-7,94.9,0.007895150161643104,0,2-3-1,2,2-1-2,2,両-両-追,両,0,0,2x2,0.05714285714285714
2025_01,1320250104010002,2-5-7,2-7-5,71.1,0.010537971172150924,0,2-1-3,2,2-2-1,2,両-追-両,両,0,0,2x2,0.05714285714285714
2025_01,1320250104010002,2-5-7,5-2-7,116.5,0.006431328329098117,0,3-2-1,3,1-2-2,1,両-両-追,両,0,0,3x1,0.05714285714285714
2025_01,1320250104010002,2-5-7,5-7-2,170.9,0.004384141312697078,0,3-1-2,3,1-2-2,1,両-追-両,両,0,0,3x1,0.05714285714285714
2025_01,1320250104010002,2-5-7,7-2-5,76.6,0.009781328333419461,0,1-2-3,1,2-2-1,2,追-両-両,追,0,0,1x2,0.05714285714285714
