race_id,date,venue,race_no,line,target,result_source,head_bust,candidate_sets,orders,bets,bet_odds,actual,set_match,order_match,bet_hit,stake,pay
8520250501010002,2025-05-01,sasebo,2,5-2-7/4/3/6-1,5,monthly,0.0,2-3-4,3-2-4,3-2-4,87.70,5-2-7,0.0,0.0,0.0,100,0
8520250501020002,2025-05-01,sasebo,2,5-2-7/4/3/6-1,6,monthly,0.0,1-2-7,1-7-2,1-7-2,166.70,3-6-1,0.0,0.0,0.0,100,0
8520250501020005,2025-05-01,sasebo,5,4-3-1/6/5-7-2,5,monthly,1.0,1-2-7,7-1-2,7-1-2,219.10,7-4-3,0.0,0.0,0.0,100,0
2420250501010001,2025-05-01,utsunomiya,1,1-2-6/4-3/5-7,1,monthly,0.0,2-3-6,2-3-6,2-3-6,89.70,2-1-7,0.0,0.0,0.0,100,0
2420250501030001,2025-05-01,utsunomiya,1,1-2-6/4-3/5-7,5,monthly,1.0,1-2-3,1-2-3,1-2-3,307.00,4-3-2,0.0,0.0,0.0,100,0
2420250501020002,2025-05-01,utsunomiya,2,4-5/6-1-3/7-2,6,monthly,0.0,1-2-3,1-2-3,1-2-3,62.70,5-1-6,0.0,0.0,0.0,100,0
2420250501030003,2025-05-01,utsunomiya,3,2-3-6/7/4-1-5,2,monthly,0.0,1-3-6,1-3-6,1-3-6,95.20,1-2-6,0.0,0.0,0.0,100,0
2420250501020005,2025-05-01,utsunomiya,5,1-2-6/7/3-4-5,1,monthly,0.0,2-4-5,2-4-5,2-4-5,567.20,3-1-4,0.0,0.0,0.0,100,0
2120250501010006,2025-05-01,yahiko,6,5-3/1-7/6-2/4,5,monthly,0.0,2-3-7,7-3-2,7-3-2,274.70,5-4-1,0.0,0.0,0.0,100,0
2120250501010007,2025-05-01,yahiko,7,1-5/7-2/4/6-3,7,monthly,1.0,1-2-5,2-1-5,2-1-5,145.40,1-5-4,0.0,0.0,0.0,100,0
2120250501020007,2025-05-01,yahiko,7,1-5/7-2/4/6-3,1,monthly,1.0,3-4-5,5-4-3,5-4-3,71.60,5-6-4,0.0,0.0,0.0,100,0
2120250501020008,2025-05-01,yahiko,8,3-1-7-4/2-5-6,3,monthly,0.0,1-4-5,5-1-4,5-1-4,31.90,4-3-5,0.0,0.0,0.0,100,0
2120250501030008,2025-05-01,yahiko,8,3-1-7-4/2-5-6,3,monthly,0.0,1-4-7,4-1-7,4-1-7,95.20,5-3-2,0.0,0.0,0.0,100,0
2120250501020010,2025-05-01,yahiko,10,1-6/3/4/5-2-7,5,monthly,0.0,2-3-7,2-3-7,2-3-7,62.50,3-5-2,0.0,0.0,0.0,100,0
2120250501010011,2025-05-01,yahiko,11,1-7-5/2/3-6/4,1,repair_fetched,,2-4-5,5-4-2,5-4-2,429.70,,,,,100,0
2120250501020011,2025-05-01,yahiko,11,1-7-5/2/3-6/4,1,monthly,0.0,3-4-7,3-7-4,3-7-4,142.90,3-5-1,0.0,0.0,0.0,100,0
5120250502030001,2025-05-02,fukui,1,5-3/1-6/4-2,1,monthly,0.0,2-3-6,6-2-3,6-2-3,58.30,6-2-1,0.0,0.0,0.0,100,0
5120250502020002,2025-05-02,fukui,2,4-1-5/7-3/2-6,4,monthly,1.0,1-2-5,2-1-5,2-1-5,69.00,7-1-5,0.0,0.0,0.0,100,0
5120250502030002,2025-05-02,fukui,2,4-1-5/3/2-6,4,monthly,1.0,1-3-6,3-1-6,3-1-6,31.60,5-1-6,0.0,0.0,0.0,100,0
5120250502010005,2025-05-02,fukui,5,1-5-7/4-2/3/6,4,monthly,1.0,2-5-7,2-7-5,2-7-5,321.40,5-7-1,0.0,0.0,0.0,100,0
5120250502030011,2025-05-02,fukui,11,7-3/4-5-1/6-2,4,monthly,0.0,1-2-5|1-3-5,5-1-2|5-1-3,5-1-2|5-1-3,40.40|161.70,7-1-4,0.0,0.0,0.0,200,0
1120250502020001,2025-05-02,hakodate,1,1-4-5/6/2-3,1,monthly,0.0,3-4-5,3-4-5,3-4-5,54.40,5-3-1,0.0,0.0,0.0,100,0
1120250502030001,2025-05-02,hakodate,1,1-4-5/6/7-2-3,7,monthly,0.0,1-2-3,2-1-3,2-1-3,71.80,2-1-7,0.0,0.0,0.0,100,0
1120250502010002,2025-05-02,hakodate,2,4-3/2-7/6-1/5,4,monthly,0.0,1-3-7,7-3-1,7-3-1,484.10,3-4-2,0.0,0.0,0.0,100,0
1120250502020002,2025-05-02,hakodate,2,4-3/2-7/6-1/5,2,monthly,1.0,1-3-7,3-7-1,3-7-1,38.50,7-6-1,0.0,0.0,0.0,100,0
