month,race_id,target,head_bust,candidate_sets,actual,set_match,eligible_count,pick,pick_odds,bet,hit,stake,pay
2024_08,7420240801020008,6,1.0,,2-7-4,0.0,0,,,0,0.0,0,0
2024_08,7420240801010009,1,0.0,2-4-5,1-4-5,0.0,6,2-4-5,52.8,1,0.0,100,0
2024_08,7420240801010011,4,,2-5-7,,,6,7-2-5,102.4,1,,100,0
2024_08,7420240801020011,2,1.0,1-4-5,1-3-4,0.0,6,5-1-4,39.4,1,0.0,100,0
2024_08,7420240801010012,7,0.0,1-3-4|2-3-4,3-4-7,0.0,12,1-4-3,38.3,1,0.0,100,0
2024_08,8320240801010001,5,0.0,1-2-3,3-1-5,0.0,6,1-3-2,38.4,1,0.0,100,0
2024_08,8320240801010002,7,0.0,1-2-5,4-2-7,0.0,6,1-5-2,301.4,1,0.0,100,0
2024_08,8320240801020002,5,0.0,1-2-4,7-2-5,0.0,6,2-4-1,99.7,1,0.0,100,0
2024_08,8320240801030002,5,0.0,1-2-4|1-2-7,2-4-5,0.0,10,2-7-1,40.5,1,0.0,100,0
2024_08,8320240801020003,1,0.0,2-3-5,6-1-5,0.0,6,2-5-3,31.0,1,0.0,100,0
2024_08,8320240801030003,7,0.0,1-3-5,1-3-7,0.0,6,1-3-5,85.2,1,0.0,100,0
2024_08,8320240801010004,1,0.0,3-5-7,5-1-3,0.0,6,5-3-7,212.6,1,0.0,100,0
2024_08,8320240801020004,1,0.0,2-3-7,1-7-3,0.0,6,3-7-2,80.6,1,0.0,100,0
2024_08,8320240801030004,5,1.0,1-2-7,1-6-2,0.0,6,1-7-2,48.3,1,0.0,100,0
2024_08,8320240801010005,7,1.0,2-4-5,5-6-3,0.0,6,4-2-5,46.6,1,0.0,100,0
2024_08,4620240801010008,5,0.0,1-2-3,1-5-6,0.0,6,1-2-3,172.9,1,0.0,100,0
2024_08,4620240801010009,7,1.0,1-3-4,3-4-1,1.0,2,1-4-3,46.7,1,0.0,100,0
2024_08,4620240801020010,5,1.0,1-3-7|1-2-7,7-1-3,1.0,11,7-1-2,33.5,1,0.0,100,0
2024_08,4620240801020011,7,0.0,1-3-5,3-1-7,0.0,6,3-5-1,85.1,1,0.0,100,0
2024_08,4620240801010012,5,0.0,2-3-7,5-2-1,0.0,6,3-2-7,195.8,1,0.0,100,0
2024_08,4620240801020012,1,0.0,3-4-7,1-7-5,0.0,6,3-4-7,49.6,1,0.0,100,0
2024_08,4620240801030012,3,0.0,4-5-6,5-2-3,0.0,6,4-5-6,474.1,1,0.0,100,0
2024_08,5620240803020001,2,1.0,4-5-7|1-5-7,7-4-6,0.0,12,7-4-5,133.5,1,0.0,100,0
2024_08,5620240803010002,5,0.0,3-4-7,5-3-7,0.0,6,7-4-3,49.4,1,0.0,100,0
2024_08,5620240803030002,5,1.0,,3-7-4,0.0,0,,,0,0.0,0,0
2024_08,5620240803010003,4,0.0,2-3-7|2-3-5,2-4-7,0.0,10,2-3-7,84.6,1,0.0,100,0
2024_08,5620240803030003,3,1.0,4-5-7,4-5-7,1.0,2,7-5-4,43.6,1,0.0,100,0
2024_08,5620240803030004,1,0.0,3-4-7,7-1-5,0.0,6,7-4-3,43.8,1,0.0,100,0
2024_08,5620240803010005,7,0.0,2-3-5|2-3-4,5-1-7,0.0,12,2-3-4,98.8,1,0.0,100,0
2024_08,5620240803020005,7,0.0,1-4-5,1-4-7,0.0,4,4-1-5,45.8,1,0.0,100,0
2024_08,5620240803030008,1,0.0,2-5-7,6-7-1,0.0,6,7-2-5,185.6,1,0.0,100,0
2024_08,4220240803010001,2,0.0,,3-2-1,0.0,0,,,0,0.0,0,0
2024_08,4220240803030001,2,0.0,1-3-4,5-2-3,0.0,6,1-4-3,301.8,1,0.0,100,0
2024_08,4220240803010004,1,0.0,2-3-4|2-3-5,1-3-4,0.0,12,2-4-3,46.5,1,0.0,100,0
2024_08,4220240803020004,1,0.0,3-4-5,1-4-3,0.0,6,3-4-5,311.3,1,0.0,100,0
2024_08,4220240803030005,1,0.0,2-3-4,7-1-4,0.0,4,2-4-3,79.8,1,0.0,100,0
2024_08,4220240803020006,1,1.0,2-3-4,3-5-2,0.0,6,4-3-2,158.9,1,0.0,100,0
2024_08,4220240803030006,1,1.0,2-3-4,4-7-6,0.0,6,2-4-3,77.5,1,0.0,100,0
2024_08,4220240803010007,4,0.0,1-2-7|1-3-7,3-4-7,0.0,12,3-7-1,67.8,1,0.0,100,0
