month,race_id,variant,target,head_bust,result_source,candidate_sets,orders,bets,actual,set_match,bet,bet_hit,stake,pay,reason
2025_01,3720250101010001,BASE,3,0,monthly,1-2-5,5-2-1,5-2-1,5-3-4,0,1,0,100,0,BET
2025_01,3720250101010001,OH_HIGH,3,0,monthly,2-4-5|1-4-5,5-2-4|5-4-1,5-2-4|5-4-1,5-3-4,0,1,0,200,0,BET
2025_01,3720250101030001,BASE,3,0,monthly,1-2-5,2-5-1,2-5-1,1-5-3,0,1,0,100,0,BET
2025_01,3720250101030001,OH_HIGH,3,0,monthly,2-4-5,2-5-4,2-5-4,1-5-3,0,1,0,100,0,BET
2025_01,3720250101010002,BASE,1,0,monthly,3-5-6,3-5-6,3-5-6,1-6-3,0,1,0,100,0,BET
2025_01,3720250101010002,OH_HIGH,1,0,monthly,3-5-6,3-5-6,3-5-6,1-6-3,0,1,0,100,0,BET
2025_01,3720250101020002,BASE,5,0,monthly,1-2-3|1-2-4,1-2-3|1-2-4,1-2-3|1-2-4,5-3-2,0,1,0,200,0,BET
2025_01,3720250101020002,OH_HIGH,5,0,monthly,1-2-3|1-2-4,1-2-3|1-2-4,1-2-3|1-2-4,5-3-2,0,1,0,200,0,BET
2025_01,3720250101030002,BASE,5,1,monthly,1-3-4,4-3-1,4-3-1,4-2-1,0,1,0,100,0,BET
2025_01,3720250101030002,OH_HIGH,5,1,monthly,1-3-4,4-3-1,4-3-1,4-2-1,0,1,0,100,0,BET
2025_01,3720250101010003,BASE,4,1,monthly,1-2-5,2-5-1,2-5-1,2-1-6,0,1,0,100,0,BET
2025_01,3720250101010003,OH_HIGH,4,1,monthly,1-2-5,2-5-1,2-5-1,2-1-6,0,1,0,100,0,BET
2025_01,3720250101030004,BASE,7,0,monthly,,,,2-3-7,0,0,0,0,0,ranking_cycle
2025_01,3720250101030004,OH_HIGH,7,0,monthly,,,,2-3-7,0,0,0,0,0,ranking_cycle
2025_01,3720250101020005,BASE,6,1,monthly,1-2-7,2-1-7,2-1-7,3-4-2,0,1,0,100,0,BET
