month,race_id,target,head_bust,candidate_sets,actual,set_match,eligible_count,pick,pick_odds,bet,hit,stake,pay
2024_10,1120241001030001,5,0,1-3-4,5-3-4,0,6,1-4-3,190.0,1,0,100,0
2024_10,1120241001010002,4,0,2-3-7,2-4-3,0,6,2-7-3,99.6,1,0,100,0
2024_10,1120241001020002,7,0,1-2-4,1-7-6,0,5,4-2-1,33.6,1,0,100,0
2024_10,1120241001030002,7,0,1-2-4,7-2-1,0,6,2-1-4,468.6,1,0,100,0
2024_10,1120241001010003,3,0,1-4-7|1-5-7,3-7-2,0,12,7-1-4,116.3,1,0,100,0
2024_10,1120241001030003,3,1,1-5-7,7-2-4,0,6,1-5-7,123.9,1,0,100,0
2024_10,1120241001010004,1,0,2-4-5,5-1-7,0,6,5-2-4,82.6,1,0,100,0
2024_10,1120241001020004,5,1,1-2-7,4-7-1,0,4,7-1-2,48.3,1,0,100,0
2024_10,4720241001010001,1,0,2-4-5,2-4-1,0,4,5-2-4,31.4,1,0,100,0
2024_10,4720241001030001,2,1,1-5-7|1-4-5,5-4-3,0,12,7-1-5,58.3,1,0,100,0
2024_10,4720241001030002,6,1,1-2-4,4-7-1,0,4,4-2-1,78.2,1,0,100,0
2024_10,4720241001030003,7,1,1-4-5,4-2-5,0,5,1-5-4,35.1,1,0,100,0
2024_10,4720241001020004,5,1,1-2-7,2-4-7,0,5,2-7-1,30.9,1,0,100,0
2024_10,4720241001010005,4,1,,2-3-5,0,0,,,0,0,0,0
2024_10,4720241001020005,4,0,1-5-7,2-4-5,0,2,1-7-5,72.4,1,0,100,0
2024_10,2820241001020001,4,1,1-3-7,2-6-1,0,5,1-7-3,39.7,1,0,100,0
2024_10,2820241001030001,7,1,2-3-5|2-4-5,5-1-3,0,12,5-2-4,110.6,1,0,100,0
2024_10,2820241001010002,5,1,2-3-6,2-7-4,0,6,2-3-6,516.3,1,0,100,0
2024_10,2820241001020002,6,1,2-4-5|1-2-4,2-3-5,0,7,2-1-4,44.5,1,0,100,0
2024_10,2820241001030002,6,1,1-2-4,4-3-1,0,5,4-1-2,47.1,1,0,100,0
2024_10,2820241001010003,7,0,1-3-4,1-5-7,0,5,3-4-1,32.1,1,0,100,0
2024_10,2820241001020003,7,1,,1-5-4,0,0,,,0,0,0,0
2024_10,2820241001030003,1,1,2-4-5|2-3-5,2-3-4,0,12,2-4-5,105.2,1,0,100,0
2024_10,2820241001020004,4,1,1-3-7|1-2-3,1-6-7,0,8,7-3-1,30.2,1,0,100,0
2024_10,2820241001030008,3,1,,7-2-1,0,0,,,0,0,0,0
2024_10,1220241003020001,5,1,1-2-3,2-1-3,1,0,,,0,0,0,0
2024_10,1220241003010002,4,0,1-2-3,3-4-2,0,2,3-1-2,40.3,1,0,100,0
2024_10,1220241003030002,4,0,1-2-3,1-4-2,0,5,2-1-3,34.8,1,0,100,0
2024_10,1220241003020003,1,0,,7-3-1,0,0,,,0,0,0,0
2024_10,1220241003030004,4,0,1-2-3,2-5-4,0,5,3-1-2,39.9,1,0,100,0
2024_10,1220241003010005,2,0,1-3-5,1-2-3,0,6,1-3-5,53.3,1,0,100,0
2024_10,1220241003010007,4,0,1-3-5,3-7-4,0,6,3-1-5,125.8,1,0,100,0
2024_10,1220241003020007,5,1,1-2-3,1-2-4,0,3,3-1-2,30.6,1,0,100,0
2024_10,1220241003030007,4,0,1-3-5,5-1-4,0,6,3-1-5,40.2,1,0,100,0
2024_10,4220241003020001,4,1,1-2-5|2-3-5,6-5-7,0,12,5-1-2,86.7,1,0,100,0
2024_10,4220241003010002,4,1,1-2-3|1-2-5,7-1-3,0,12,1-2-3,139.7,1,0,100,0
2024_10,4220241003030002,6,1,1-3-5,5-4-1,0,6,5-1-3,50.2,1,0,100,0
2024_10,4220241003010003,2,0,3-5-7,3-2-7,0,6,3-7-5,46.7,1,0,100,0
2024_10,4220241003010004,7,0,,7-4-1,0,0,,,0,0,0,0
2024_10,4220241003020004,7,0,1-4-5,7-4-1,0,6,4-1-5,96.7,1,0,100,0
2024_10,4220241003020005,3,1,1-4-5,1-4-6,0,4,1-5-4,44.0,1,0,100,0
2024_10,4220241003030011,4,0,1-2-7,4-7-1,0,6,7-1-2,62.4,1,0,100,0
