month,period,race_id,trio_key,ticket,odds,market_p,actual_hit,return_units,role_set,odds_rank_ascending
2025_05,2025_H1,1120250519030005,2-3-4,2-4-3,26.9,0.027853496139706207,0,0.0,SOLO+SOLO+SOLO,1
2025_05,2025_H1,1120250519030005,2-3-4,2-3-4,56.9,0.01316799729627587,0,0.0,SOLO+SOLO+SOLO,2
2025_05,2025_H1,1120250519030005,2-3-4,4-2-3,80.6,0.00929601794240815,0,0.0,SOLO+SOLO+SOLO,3
2025_05,2025_H1,1120250519030005,2-3-4,3-2-4,95.0,0.007886937327979966,0,0.0,SOLO+SOLO+SOLO,4
2025_05,2025_H1,1120250519030005,2-3-4,4-3-2,157.2,0.00476627891958077,0,0.0,SOLO+SOLO+SOLO,5
2025_05,2025_H1,1120250519030005,2-3-4,3-4-2,181.0,0.004139552741204955,0,0.0,SOLO+SOLO+SOLO,6
2025_05,2025_H1,1120250519030006,1-4-5,5-1-4,8.9,0.08414443307029917,0,0.0,SOLO+SOLO+SOLO,1
2025_05,2025_H1,1120250519030006,1-4-5,5-4-1,12.1,0.061891359861625014,0,0.0,SOLO+SOLO+SOLO,2
2025_05,2025_H1,1120250519030006,1-4-5,1-4-5,16.7,0.04484344037878219,0,0.0,SOLO+SOLO+SOLO,3
2025_05,2025_H1,1120250519030006,1-4-5,4-1-5,17.8,0.04207221653514959,0,0.0,SOLO+SOLO+SOLO,4
2025_05,2025_H1,1120250519030006,1-4-5,1-5-4,20.0,0.03744427271628313,0,0.0,SOLO+SOLO+SOLO,5
2025_05,2025_H1,1120250519030006,1-4-5,4-5-1,25.7,0.029139511841465474,0,0.0,SOLO+SOLO+SOLO,6
2025_05,2025_H1,1120250519030008,2-3-4,4-3-2,68.4,0.010897731213950317,0,0.0,OTHER_HEAD+OTHER_HEAD+SOLO,1
2025_05,2025_H1,1120250519030008,2-3-4,4-2-3,97.2,0.007668773817224298,0,0.0,OTHER_HEAD+OTHER_HEAD+SOLO,2
2025_05,2025_H1,1120250519030008,2-3-4,3-4-2,170.8,0.004364196809333734,0,0.0,OTHER_HEAD+OTHER_HEAD+SOLO,3
2025_05,2025_H1,1120250519030008,2-3-4,3-2-4,308.2,0.0024185750001109725,0,0.0,OTHER_HEAD+OTHER_HEAD+SOLO,4
2025_05,2025_H1,1120250519030008,2-3-4,2-4-3,340.2,0.0021910782334926566,0,0.0,OTHER_HEAD+OTHER_HEAD+SOLO,5
2025_05,2025_H1,1120250519030008,2-3-4,2-3-4,357.3,0.0020862155472549724,0,0.0,OTHER_HEAD+OTHER_HEAD+SOLO,6
2025_05,2025_H1,1120250526030002,1-2-3,1-2-3,8.0,0.09300481129053179,1,8.0,SOLO+SOLO+SOLO,1
2025_05,2025_H1,1120250526030002,1-2-3,2-1-3,18.5,0.04021829677428402,0,0.0,SOLO+SOLO+SOLO,2
2025_05,2025_H1,1120250526030002,1-2-3,1-3-2,22.5,0.033068377347744635,0,0.0,SOLO+SOLO+SOLO,3
2025_05,2025_H1,1120250526030002,1-2-3,3-1-2,69.3,0.01073648615186514,0,0.0,SOLO+SOLO+SOLO,4
2025_05,2025_H1,1120250526030002,1-2-3,2-3-1,73.2,0.010164460250331343,0,0.0,SOLO+SOLO+SOLO,5
2025_05,2025_H1,1120250526030002,1-2-3,3-2-1,111.5,0.006672990944612146,0,0.0,SOLO+SOLO+SOLO,6
2025_06,2025_H1,1120250602020001,2-3-7,7-2-3,36.2,0.020687716852064674,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,1
2025_06,2025_H1,1120250602020001,2-3-7,2-3-7,40.6,0.018445698276964066,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,2
2025_06,2025_H1,1120250602020001,2-3-7,2-7-3,47.2,0.015866426907727566,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,3
2025_06,2025_H1,1120250602020001,2-3-7,7-3-2,84.9,0.00882091107237622,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,4
2025_06,2025_H1,1120250602020001,2-3-7,3-2-7,164.0,0.004566435061248422,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,5
2025_06,2025_H1,1120250602020001,2-3-7,3-7-2,219.6,0.0034102702643203156,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,6
2025_06,2025_H1,1120250602020004,1-2-7,2-7-1,10.9,0.06851215352843125,0,0.0,ESCAPE_HEAD+SOLO+THIRD_PLUS,1
2025_06,2025_H1,1120250602020004,1-2-7,2-1-7,14.1,0.052963295990063886,0,0.0,ESCAPE_HEAD+SOLO+THIRD_PLUS,2
2025_06,2025_H1,1120250602020004,1-2-7,1-2-7,61.9,0.012064337212599365,0,0.0,ESCAPE_HEAD+SOLO+THIRD_PLUS,3
2025_06,2025_H1,1120250602020004,1-2-7,7-2-1,79.4,0.009405320824431998,0,0.0,ESCAPE_HEAD+SOLO+THIRD_PLUS,4
2025_06,2025_H1,1120250602020004,1-2-7,1-7-2,165.9,0.0045014012866781234,0,0.0,ESCAPE_HEAD+SOLO+THIRD_PLUS,5
2025_06,2025_H1,1120250602020004,1-2-7,7-1-2,213.0,0.0035060210021591585,0,0.0,ESCAPE_HEAD+SOLO+THIRD_PLUS,6
2025_06,2025_H1,1120250602030001,2-5-7,5-2-7,34.3,0.021848769702511716,0,0.0,BANTE+BANTE+OTHER_HEAD,1
2025_06,2025_H1,1120250602030001,2-5-7,5-7-2,42.7,0.01755065107250941,0,0.0,BANTE+BANTE+OTHER_HEAD,2
2025_06,2025_H1,1120250602030001,2-5-7,2-5-7,47.0,0.01594495320842876,0,0.0,BANTE+BANTE+OTHER_HEAD,3
2025_06,2025_H1,1120250602030001,2-5-7,2-7-5,81.0,0.009252009886372245,0,0.0,BANTE+BANTE+OTHER_HEAD,4
2025_06,2025_H1,1120250602030001,2-5-7,7-5-2,106.3,0.007049979311346678,0,0.0,BANTE+BANTE+OTHER_HEAD,5
2025_06,2025_H1,1120250602030001,2-5-7,7-2-5,127.0,0.0059008881952452895,0,0.0,BANTE+BANTE+OTHER_HEAD,6
2025_06,2025_H1,1120250602030002,1-2-3,2-3-1,20.6,0.03636854721702783,0,0.0,BANTE+BANTE+RYO_HEAD,1
2025_06,2025_H1,1120250602030002,1-2-3,2-1-3,35.8,0.020927152867898695,0,0.0,BANTE+BANTE+RYO_HEAD,2
2025_06,2025_H1,1120250602030002,1-2-3,3-2-1,47.5,0.01577246468780575,0,0.0,BANTE+BANTE+RYO_HEAD,3
2025_06,2025_H1,1120250602030002,1-2-3,3-1-2,94.5,0.007927958440960562,0,0.0,BANTE+BANTE+RYO_HEAD,4
2025_06,2025_H1,1120250602030002,1-2-3,1-2-3,118.6,0.0063169651995849336,0,0.0,BANTE+BANTE+RYO_HEAD,5
2025_06,2025_H1,1120250602030002,1-2-3,1-3-2,154.2,0.00485857375272875,0,0.0,BANTE+BANTE+RYO_HEAD,6
2025_07,2025_H2,1120250701010002,1-2-3,1-2-3,212.8,0.003518199483987921,0,0.0,BANTE+BANTE+BANTE,1
2025_07,2025_H2,1120250701010002,1-2-3,1-3-2,271.9,0.002753486024982088,0,0.0,BANTE+BANTE+BANTE,2
2025_07,2025_H2,1120250701010002,1-2-3,2-1-3,726.1,0.0010310877980892847,0,0.0,BANTE+BANTE+BANTE,3
2025_07,2025_H2,1120250701010002,1-2-3,3-1-2,800.1,0.0009357240972286334,0,0.0,BANTE+BANTE+BANTE,4
