race_id,date,venue_slug,race_no,classes,n_players,expected_3rentan,true_line,n_lines,line_quality,line_source_url,parsed_3rentan,odds_quality,odds_snapshot_at,odds_snapshot_kind,bet_close_time,price_quality,price_usable,odds_source_url,context_quality,enriched_at
2720260401010001,2026-04-01,keiokaku,1,"A1,A2",7,210,7-2/3-6-5/4-1,3,full,https://sp.oddspark.com/keirin/yosou/keiokaku/2026/0401.html,210,full,2026-04-01 15:57,confirmed,15:50,confirmed,True,https://keirin.kdreams.jp/keiokaku/racedetail/2720260401010001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T01:58:51
2720260401010002,2026-04-01,keiokaku,2,A2,7,210,2-6/1-5/4/7-3,4,full,https://sp.oddspark.com/keirin/yosou/keiokaku/2026/0401_2.html,120,partial,2026-04-01 16:18,confirmed,16:12,confirmed,False,https://keirin.kdreams.jp/keiokaku/racedetail/2720260401010002/?kakeshikiType=3rentan&pageType=odds,partial,2026-09-02T01:59:09
2720260401010003,2026-04-01,keiokaku,3,"A1,A2",7,210,1-4/2-5-6/3-7,3,full,https://sp.oddspark.com/keirin/yosou/keiokaku/2026/0401_3.html,210,full,2026-04-01 16:44,confirmed,16:37,confirmed,True,https://keirin.kdreams.jp/keiokaku/racedetail/2720260401010003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T01:59:24
2720260401010004,2026-04-01,keiokaku,4,"A1,A2",7,210,1-7-3/6/4-2-5,3,full,https://sp.oddspark.com/keirin/yosou/keiokaku/2026/0401_4.html,210,full,2026-04-01 17:09,confirmed,17:02,confirmed,True,https://keirin.kdreams.jp/keiokaku/racedetail/2720260401010004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T01:59:38
2720260401010005,2026-04-01,keiokaku,5,A1,7,210,6-3/4/1/2-7/5,5,full,https://sp.oddspark.com/keirin/yosou/keiokaku/2026/0401_5.html,210,full,2026-04-01 17:34,confirmed,17:27,confirmed,True,https://keirin.kdreams.jp/keiokaku/racedetail/2720260401010005/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T01:59:52
5620260401010001,2026-04-01,kishiwada,1,"A1,A2",7,210,1-6/2-5/7-4-3,3,full,https://sp.oddspark.com/keirin/yosou/kishiwada/2026/0401.html,210,full,2026-04-01 10:46,confirmed,10:40,confirmed,True,https://keirin.kdreams.jp/kishiwada/racedetail/5620260401010001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T02:00:07
5620260401010002,2026-04-01,kishiwada,2,"A1,A2",7,210,5-2/3-7-6/4-1,3,full,https://sp.oddspark.com/keirin/yosou/kishiwada/2026/0401_2.html,210,full,2026-04-01 11:14,confirmed,11:07,confirmed,True,https://keirin.kdreams.jp/kishiwada/racedetail/5620260401010002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T02:00:21
5620260401010003,2026-04-01,kishiwada,3,"A1,A2",7,210,3-4-6/5-1/7-2,3,full,https://sp.oddspark.com/keirin/yosou/kishiwada/2026/0401_3.html,210,full,2026-04-01 11:42,confirmed,11:35,confirmed,True,https://keirin.kdreams.jp/kishiwada/racedetail/5620260401010003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T02:00:35
5620260401010004,2026-04-01,kishiwada,4,"A1,A2",7,210,3-5/4-7-1/2-6,3,full,https://sp.oddspark.com/keirin/yosou/kishiwada/2026/0401_4.html,210,full,2026-04-01 12:10,confirmed,12:03,confirmed,True,https://keirin.kdreams.jp/kishiwada/racedetail/5620260401010004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T02:00:51
5620260401010005,2026-04-01,kishiwada,5,A1,7,210,2-7-4/6/5-3-1,3,full,https://sp.oddspark.com/keirin/yosou/kishiwada/2026/0401_5.html,210,full,2026-04-01 12:37,confirmed,12:31,confirmed,True,https://keirin.kdreams.jp/kishiwada/racedetail/5620260401010005/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T02:01:05
