month,race_id,target,head_bust,candidate_sets,actual,set_match,eligible_count,pick,pick_odds,bet,hit,stake,pay
2024_06,1220240601020001,5,0,1-2-3,3-5-7,0,6,3-2-1,554.9,1,0,100,0
2024_06,1220240601030001,1,0,,1-5-3,0,0,,,0,0,0,0
2024_06,1220240601020002,3,0,,2-3-7,0,0,,,0,0,0,0
2024_06,1220240601030002,3,0,1-4-7|1-5-7,1-4-3,0,12,1-7-4,36.3,1,0,100,0
2024_06,1220240601020003,5,0,3-4-7,7-4-5,0,6,4-3-7,34.7,1,0,100,0
2024_06,1220240601030003,1,1,4-5-7,2-7-5,0,6,7-5-4,199.3,1,0,100,0
2024_06,1220240601020004,1,0,2-3-7,2-7-1,0,4,2-3-7,43.5,1,0,100,0
2024_06,1220240601010005,2,0,3-5-7,2-5-6,0,6,3-7-5,61.9,1,0,100,0
2024_06,1220240601030005,3,0,2-4-7,4-5-3,0,5,7-4-2,39.5,1,0,100,0
2024_06,1220240601020006,5,1,2-4-7|1-2-7,3-2-7,0,12,1-7-2,84.4,1,0,100,0
2024_06,1220240601030006,5,1,1-2-4,6-4-3,0,6,2-4-1,411.5,1,0,100,0
2024_06,1220240601010007,1,0,4-5-7,1-3-4,0,6,4-5-7,251.6,1,0,100,0
2024_06,1220240601030007,1,1,3-4-7,2-5-3,0,6,4-7-3,45.0,1,0,100,0
2024_06,8620240601020008,3,0,,3-4-6,0,0,,,0,0,0,0
2024_06,8620240601030008,6,1,1-2-4|2-4-7,4-2-1,1,7,4-7-2,47.4,1,0,100,0
2024_06,8620240601020009,1,1,2-4-7,4-7-2,1,3,2-7-4,34.3,1,0,100,0
2024_06,8620240601030009,1,0,2-5-7,1-5-3,0,6,5-7-2,34.7,1,0,100,0
2024_06,8620240601010010,5,0,2-3-7|2-3-6,3-2-5,0,12,2-3-7,76.3,1,0,100,0
2024_06,8620240601010011,2,0,3-4-5,2-7-4,0,6,4-3-5,133.3,1,0,100,0
2024_06,8620240601020011,2,0,1-3-5|3-5-7,4-5-2,0,12,5-7-3,101.4,1,0,100,0
2024_06,8620240601010012,1,0,,5-1-4,0,0,,,0,0,0,0
2024_06,8620240601020012,1,0,4-5-7|2-4-5,4-7-1,0,11,4-5-7,53.2,1,0,100,0
2024_06,4320240601030008,5,0,1-3-4,5-3-4,0,5,3-4-1,32.1,1,0,100,0
2024_06,4320240601010009,5,1,2-3-7|2-3-4,1-7-3,0,12,3-7-2,50.5,1,0,100,0
2024_06,4320240601020009,1,0,3-4-7|4-5-7,1-4-3,0,12,4-7-3,44.0,1,0,100,0
2024_06,4320240601030009,5,0,1-2-7,7-4-5,0,3,1-7-2,62.0,1,0,100,0
2024_06,4320240601010010,4,0,1-5-7,1-4-5,0,6,7-1-5,48.8,1,0,100,0
2024_06,4320240601020010,4,0,3-5-7,4-7-2,0,4,3-7-5,31.9,1,0,100,0
2024_06,4320240601010012,2,1,,1-5-4,0,0,,,0,0,0,0
2024_06,2220240601040009,1,0,,1-7-5,0,0,,,0,0,0,0
2024_06,5420240601010001,1,0,2-3-5,5-1-4,0,6,5-2-3,57.9,1,0,100,0
2024_06,5420240601020001,1,1,4-5-7|3-4-5,5-6-7,0,9,5-3-4,47.4,1,0,100,0
2024_06,5420240601030001,1,0,2-4-5,1-5-4,0,5,4-5-2,31.2,1,0,100,0
2024_06,5420240601020002,4,1,1-5-7,5-3-7,0,5,7-5-1,30.5,1,0,100,0
2024_06,5420240601010003,7,0,2-4-5,7-5-4,0,6,2-5-4,170.0,1,0,100,0
2024_06,5420240601030003,7,0,,7-6-1,0,0,,,0,0,0,0
2024_06,5420240601010004,1,0,4-5-7,1-7-5,0,6,7-4-5,136.9,1,0,100,0
2024_06,5420240601030004,1,1,4-5-7,4-3-6,0,6,4-5-7,71.9,1,0,100,0
2024_06,5420240601010005,4,0,,1-6-4,0,0,,,0,0,0,0
2024_06,5420240601020005,3,1,1-4-5|1-5-7,1-5-4,1,9,1-5-4,42.4,1,1,100,4240
2024_06,5320240601030001,3,0,,3-1-2,0,0,,,0,0,0,0
2024_06,5320240601010002,1,0,2-3-4,1-4-2,0,6,2-4-3,102.5,1,0,100,0
2024_06,5320240601020002,1,0,2-4-6,2-1-4,0,6,2-4-6,450.1,1,0,100,0
2024_06,5320240601030002,2,0,1-5-6,1-3-2,0,6,1-6-5,53.8,1,0,100,0
2024_06,5320240601010003,5,0,1-2-3,1-5-2,0,4,3-1-2,48.3,1,0,100,0
2024_06,5320240601020003,5,0,1-2-3,6-5-4,0,6,1-3-2,34.9,1,0,100,0
2024_06,5320240601030003,5,0,1-2-3,2-5-1,0,4,1-2-3,65.5,1,0,100,0
2024_06,5320240601010004,2,0,1-3-5,2-1-5,0,5,1-3-5,49.8,1,0,100,0
2024_06,5320240601020004,2,0,1-3-5,2-5-1,0,3,5-3-1,41.9,1,0,100,0
2024_06,5320240601030004,2,0,1-3-5,2-1-7,0,6,1-3-5,667.3,1,0,100,0
