month,race_id,target,head_bust,candidate_sets,actual,set_match,eligible_count,pick,pick_odds,bet,hit,stake,pay
2024_09,2220240901020001,4,0.0,1-2-3,1-2-4,0.0,5,1-3-2,42.5,1,0.0,100,0
2024_09,2220240901010002,5,1.0,1-2-4,4-2-7,0.0,4,2-4-1,53.3,1,0.0,100,0
2024_09,2220240901020002,5,0.0,1-4-7,7-5-1,0.0,3,7-4-1,31.9,1,0.0,100,0
2024_09,2220240901020003,3,0.0,1-2-5,3-1-5,0.0,4,5-2-1,63.7,1,0.0,100,0
2024_09,2220240901030003,4,0.0,2-3-7|2-3-5,2-4-7,0.0,8,7-2-3,30.5,1,0.0,100,0
2024_09,2220240901010005,3,1.0,2-4-7,5-1-6,0.0,6,2-4-7,579.0,1,0.0,100,0
2024_09,2220240901020005,2,0.0,3-4-5|4-5-7,2-4-7,0.0,12,5-4-3,165.8,1,0.0,100,0
2024_09,7520240901010001,5,0.0,1-2-3,6-5-1,0.0,6,3-2-1,109.0,1,0.0,100,0
2024_09,7520240901030001,5,0.0,2-3-4,4-2-5,0.0,5,2-3-4,44.9,1,0.0,100,0
2024_09,7520240901010002,6,0.0,1-3-4,3-7-6,0.0,6,3-1-4,135.7,1,0.0,100,0
2024_09,7520240901030002,3,0.0,5-6-7,3-7-5,0.0,6,7-5-6,249.4,1,0.0,100,0
2024_09,7520240901010005,4,0.0,,2-4-6,0.0,0,,,0,0.0,0,0
2024_09,7520240901030011,4,0.0,1-3-7,3-2-4,0.0,6,7-3-1,42.2,1,0.0,100,0
2024_09,8720240902010001,4,0.0,1-2-5|1-5-7,1-4-7,0.0,12,2-5-1,47.8,1,0.0,100,0
2024_09,8720240902030001,5,1.0,2-4-7|2-3-4,4-3-1,0.0,9,4-7-2,43.2,1,0.0,100,0
2024_09,8720240902010004,4,0.0,1-3-5,5-4-1,0.0,6,1-5-3,201.3,1,0.0,100,0
2024_09,8720240902020004,7,0.0,1-3-5,3-4-7,0.0,4,5-1-3,35.5,1,0.0,100,0
2024_09,8720240902030004,4,0.0,1-6-7,4-2-7,0.0,6,6-7-1,266.1,1,0.0,100,0
2024_09,8720240902010005,1,0.0,2-4-7,1-2-5,0.0,6,7-4-2,285.7,1,0.0,100,0
2024_09,8720240902020005,2,1.0,1-5-7,1-6-7,0.0,6,1-7-5,45.4,1,0.0,100,0
2024_09,4220240903010001,7,0.0,1-4-5,4-1-7,0.0,6,4-1-5,34.6,1,0.0,100,0
2024_09,4220240903020001,4,1.0,2-3-7,7-3-5,0.0,4,3-2-7,78.9,1,0.0,100,0
2024_09,4220240903010002,2,,1-3-7,,,6,7-3-1,71.5,1,,100,0
2024_09,4220240903020002,1,1.0,4-5-7,7-2-3,0.0,5,4-5-7,40.9,1,0.0,100,0
2024_09,4220240903030002,1,0.0,2-4-5,5-4-1,0.0,5,4-2-5,32.8,1,0.0,100,0
2024_09,4220240903020003,5,0.0,1-4-7,1-7-5,0.0,4,1-4-7,59.7,1,0.0,100,0
2024_09,4220240903020004,5,0.0,2-3-7|2-3-4,5-2-7,0.0,12,2-7-3,141.6,1,0.0,100,0
2024_09,4220240903030011,1,1.0,2-5-7,6-5-2,0.0,6,2-5-7,158.6,1,0.0,100,0
2024_09,6120240903010001,6,1.0,1-2-3,3-1-2,1.0,3,2-1-3,44.8,1,0.0,100,0
2024_09,6120240903020001,6,0.0,1-2-3,6-1-3,0.0,5,2-1-3,35.8,1,0.0,100,0
2024_09,6120240903030001,3,0.0,1-2-4,1-3-4,0.0,4,4-1-2,38.5,1,0.0,100,0
2024_09,6120240903010002,3,0.0,1-2-4,1-6-3,0.0,6,1-4-2,69.5,1,0.0,100,0
2024_09,6120240903020002,6,0.0,1-2-3|1-2-4,1-2-6,0.0,11,1-3-2,33.0,1,0.0,100,0
2024_09,6120240903030002,4,1.0,,7-3-1,0.0,0,,,0,0.0,0,0
2024_09,6120240903020003,1,0.0,2-3-4|2-3-6,2-3-1,0.0,11,2-3-6,74.0,1,0.0,100,0
2024_09,6120240903030004,5,1.0,,1-2-3,0.0,0,,,0,0.0,0,0
2024_09,6120240903010005,2,0.0,1-4-5,4-1-2,0.0,6,1-4-5,382.2,1,0.0,100,0
2024_09,6120240903020005,2,0.0,1-4-5,5-1-2,0.0,6,1-5-4,31.1,1,0.0,100,0
2024_09,6120240903030005,2,0.0,1-3-4,1-2-4,0.0,4,3-1-4,31.7,1,0.0,100,0
2024_09,6120240903010007,3,0.0,1-2-5,3-7-6,0.0,6,2-5-1,146.8,1,0.0,100,0
2024_09,6120240903020007,3,1.0,1-2-5|1-2-6,2-1-7,0.0,11,1-2-6,32.9,1,0.0,100,0
