month,race_id,date,venue,race_no,line,target,actual,candidate_sets,best_overlap,n_best_variants,miss_roles,extra_roles,one_replacement,extra_frame,extra_role,missing_frame,missing_role,score_gap_missing_minus_extra,detail
2025_05,8520250501020005,2025-05-01,sasebo,5,4-3-1/6/5-7-2,5,7-4-3,1-2-7,1,1,other_head|other_pos2,other_pos3plus|popular_pos3plus,0,,,,,,
2025_05,2420250501030001,2025-05-01,utsunomiya,1,1-2-6/4-3/5-7,5,4-3-2,1-2-3,2,1,other_head,other_head,1,1,other_head,4,other_head,-3.519999999999996,extra1:other_head:s86.47->miss4:other_head:s82.95:gap-3.52
2025_05,2120250501010007,2025-05-01,yahiko,7,1-5/7-2/4/6-3,7,1-5-4,1-2-5,2,1,solo,popular_pos2,1,2,popular_pos2,4,solo,-1.1400000000000006,extra2:popular_pos2:s85.47->miss4:solo:s84.33:gap-1.14
2025_05,2120250501020007,2025-05-01,yahiko,7,1-5/7-2/4/6-3,1,5-6-4,3-4-5,2,1,other_head,other_pos2,1,3,other_pos2,6,other_head,-2.6499999999999915,extra3:other_pos2:s80.80->miss6:other_head:s78.15:gap-2.65
2025_05,5120250502020002,2025-05-02,fukui,2,4-1-5/7-3/2-6,4,7-1-5,1-2-5,2,1,other_head,other_head,1,2,other_head,7,other_head,-4.549999999999997,extra2:other_head:s88.27->miss7:other_head:s83.72:gap-4.55
2025_05,5120250502030002,2025-05-02,fukui,2,4-1-5/3/2-6,4,5-1-6,1-3-6,2,1,popular_pos3plus,solo,1,3,solo,5,popular_pos3plus,-9.61,extra3:solo:s88.27->miss5:popular_pos3plus:s78.66:gap-9.61
2025_05,5120250502010005,2025-05-02,fukui,5,1-5-7/4-2/3/6,4,5-7-1,2-5-7,2,1,other_head,popular_pos2,1,2,popular_pos2,1,other_head,-1.0499999999999972,extra2:popular_pos2:s94.05->miss1:other_head:s93.00:gap-1.05
2025_05,1120250502020002,2025-05-02,hakodate,2,4-3/2-7/6-1/5,2,7-6-1,1-3-7,2,1,other_head,other_pos2,1,3,other_pos2,6,other_head,-11.899999999999991,extra3:other_pos2:s88.66->miss6:other_head:s76.76:gap-11.90
2025_06,3120250601030004,2025-06-01,matsudo,4,1-2-7/6-3/4-5,1,6-4-3,2-3-5,1,1,other_head,other_pos2|popular_pos2,0,,,,,,
2025_06,3120250601030005,2025-06-01,matsudo,5,1-3-6/2-5/7-4,1,5-3-2,3-4-5,2,1,other_head,other_pos2,1,4,other_pos2,2,other_head,1.519999999999996,extra4:other_pos2:s86.89->miss2:other_head:s88.41:gap+1.52
2025_06,3120250601020007,2025-06-01,matsudo,7,6-1/3/5/7-4-2,7,1-2-5,1-2-4,2,1,solo,popular_pos2,1,4,popular_pos2,5,solo,-0.3400000000000034,extra4:popular_pos2:s88.00->miss5:solo:s87.66:gap-0.34
2025_06,5120250602020001,2025-06-02,fukui,1,1-4-6/3/5-2-7,1,4-6-2,4-6-7,2,1,other_pos2,other_pos3plus,1,7,other_pos3plus,2,other_pos2,-1.1700000000000017,extra7:other_pos3plus:s80.50->miss2:other_pos2:s79.33:gap-1.17
2025_06,5120250602030001,2025-06-02,fukui,1,1-4-6/3/5-2-7,5,3-4-2,2-3-7,2,1,other_pos2,popular_pos3plus,1,7,popular_pos3plus,4,other_pos2,-1.9200000000000017,extra7:popular_pos3plus:s81.25->miss4:other_pos2:s79.33:gap-1.92
2025_06,5120250602030003,2025-06-02,fukui,3,3-5-2/1-7/4-6,3,1-5-6,2-4-5,1,1,other_head|other_pos2,other_head|popular_pos3plus,0,,,,,,
2025_06,5120250602030004,2025-06-02,fukui,4,7-5-1/2-4/3/6,7,4-1-3,1-3-5,2,1,other_pos2,popular_pos2,1,5,popular_pos2,4,other_pos2,-2.0799999999999983,extra5:popular_pos2:s85.60->miss4:other_pos2:s83.52:gap-2.08
2025_06,1120250602030001,2025-06-02,hakodate,1,7-1/4/3-5/6-2,6,1-7-2,2-5-7,2,1,other_pos2,other_pos2,1,5,other_pos2,1,other_pos2,-4.529999999999987,extra5:other_pos2:s85.57->miss1:other_pos2:s81.04:gap-4.53
2025_06,1120250602030002,2025-06-02,hakodate,2,4-1/7-2/3-5-6,3,2-5-6,1-2-5,2,1,popular_pos3plus,other_pos2,1,1,other_pos2,6,popular_pos3plus,-4.909999999999997,extra1:other_pos2:s85.00->miss6:popular_pos3plus:s80.09:gap-4.91
2025_06,4620250603020009,2025-06-03,toyama,9,1-5/6-3/2-7-4,2,5-1-7,4-5-7,2,1,other_head,popular_pos3plus,1,4,popular_pos3plus,1,other_head,1.6599999999999966,extra4:popular_pos3plus:s90.26->miss1:other_head:s91.92:gap+1.66
2025_07,1120250701020003,2025-07-01,hakodate,3,4-2/7/5/6-1-3,6,5-1-3,1-2-3,2,1,solo,other_pos2,1,2,other_pos2,5,solo,-2.030000000000001,extra2:other_pos2:s85.41->miss5:solo:s83.38:gap-2.03
2025_07,1120250701030006,2025-07-01,hakodate,6,2-1/6-4/3-5/7,2,1-4-6,1-4-5,2,1,other_head,other_pos2,1,5,other_pos2,6,other_head,-0.4000000000000057,extra5:other_pos2:s83.00->miss6:other_head:s82.60:gap-0.40
2025_07,4220250701020002,2025-07-01,nagoya,2,2-5-4/7-1-3/6,2,1-4-6,3-4-5|1-4-5,2,1,solo,popular_pos2,1,5,popular_pos2,6,solo,-4.039999999999992,extra5:popular_pos2:s82.80->miss6:solo:s78.76:gap-4.04
2025_07,4220250701030002,2025-07-01,nagoya,2,2-5-4/7-1-3/6,2,6-7-4,1-5-7,1,1,popular_pos3plus|solo,other_pos2|popular_pos2,0,,,,,,
2025_07,4220250701020004,2025-07-01,nagoya,4,4-2-5/1-7-3/6,1,5-2-4,3-5-7,1,1,other_head|other_pos2,popular_pos2|popular_pos3plus,0,,,,,,
2025_07,4220250701010005,2025-07-01,nagoya,5,5-1/4-2-7/6-3,4,5-6-1,1-3-5,2,1,other_head,other_pos2,1,3,other_pos2,6,other_head,-5.560000000000002,extra3:other_pos2:s94.72->miss6:other_head:s89.16:gap-5.56
2025_07,4220250701020005,2025-07-01,nagoya,5,5-1/4-2-7/6-3,4,3-7-5,2-3-7,2,1,other_head,popular_pos2,1,2,popular_pos2,5,other_head,1.1799999999999926,extra2:popular_pos2:s89.26->miss5:other_head:s90.44:gap+1.18
2025_07,4220250701030011,2025-07-01,nagoya,11,7-5-3/1-4/6-2,6,2-1-4,2-5-7,1,1,other_head|other_pos2,other_head|other_pos2,0,,,,,,
2025_07,2220250702010007,2025-07-02,maebashi,7,1-5-3/4-2-7/6,4,1-5-3,1-2-7,1,1,other_pos2|other_pos3plus,popular_pos2|popular_pos3plus,0,,,,,,
2025_07,2220250702030008,2025-07-02,maebashi,8,5-1/3/6-2-4/7,5,1-2-6,1-3-4|1-4-7,1,2,other_head|other_pos2,other_pos3plus|solo,0,,,,,,
2025_07,2820250702010001,2025-07-02,tachikawa,1,6-1/7-4-2/3-5,7,5-3-2,3-4-5,2,1,popular_pos3plus,popular_pos2,1,4,popular_pos2,2,popular_pos3plus,-4.180000000000007,extra4:popular_pos2:s88.95->miss2:popular_pos3plus:s84.77:gap-4.18
2025_07,2820250702030008,2025-07-02,tachikawa,8,4-7-1/3-5-2/6,4,7-1-5,1-3-5,2,1,popular_pos2,other_head,1,3,other_head,7,popular_pos2,-5.6200000000000045,extra3:other_head:s95.73->miss7:popular_pos2:s90.11:gap-5.62
2025_07,8620250704010002,2025-07-04,beppu,2,5/2-6/7-3/4-1,7,4-1-2,1-3-4,2,1,other_head,popular_pos2,1,3,popular_pos2,2,other_head,-1.5499999999999972,extra3:popular_pos2:s84.28->miss2:other_head:s82.73:gap-1.55
2025_07,8620250704020002,2025-07-04,beppu,2,5/2-6/7-3/4-1,7,3-2-4,1-2-3,2,1,other_head,other_pos2,1,1,other_pos2,4,other_head,-3.219999999999999,extra1:other_pos2:s85.62->miss4:other_head:s82.40:gap-3.22
2025_07,8620250704020004,2025-07-04,beppu,4,4-3-5/1-6/2/7,4,7-5-2,2-3-7,2,1,popular_pos3plus,popular_pos2,1,3,popular_pos2,5,popular_pos3plus,-1.5999999999999943,extra3:popular_pos2:s87.00->miss5:popular_pos3plus:s85.40:gap-1.60
2025_07,8620250704020005,2025-07-04,beppu,5,6-2/4-1/3-7-5,3,6-5-1,1-5-7,2,1,other_head,popular_pos2,1,7,popular_pos2,6,other_head,-13.590000000000003,extra7:popular_pos2:s89.59->miss6:other_head:s76.00:gap-13.59
2025_08,8320250801030003,2025-08-01,kurume,3,6-1/5/4-3/7-2,4,3-5-2,1-2-3,2,1,solo,other_pos2,1,1,other_pos2,5,solo,-0.10999999999999943,extra1:other_pos2:s85.61->miss5:solo:s85.50:gap-0.11
2025_08,3520250802030008,2025-08-02,hiratsuka,8,1-5-6/7-2/4-3,1,4-7-2,2-4-5,2,1,other_head,popular_pos2,1,5,popular_pos2,7,other_head,-10.129999999999995,extra5:popular_pos2:s93.81->miss7:other_head:s83.68:gap-10.13
2025_08,7420250803030002,2025-08-03,kochi,2,1-5/2-7/4-3-6,2,3-1-5,3-5-7,2,1,other_head,popular_pos2,1,7,popular_pos2,1,other_head,-4.200000000000003,extra7:popular_pos2:s86.03->miss1:other_head:s81.83:gap-4.20
2025_08,7420250803010003,2025-08-03,kochi,3,4-1-7/2/5/6-3,4,3-5-1,1-3-7,2,1,solo,popular_pos3plus,1,7,popular_pos3plus,5,solo,-3.25,extra7:popular_pos3plus:s84.25->miss5:solo:s81.00:gap-3.25
2025_08,7420250803020003,2025-08-03,kochi,3,4-1-7/2/5/6-3,4,5-2-1,3-5-7,1,1,popular_pos2|solo,other_pos2|popular_pos3plus,0,,,,,,
2025_08,2220250803020001,2025-08-03,maebashi,1,3-1-5/4-2-6,3,2-4-1,1-2-5,2,1,other_head,popular_pos3plus,1,5,popular_pos3plus,4,other_head,1.5700000000000074,extra5:popular_pos3plus:s80.47->miss4:other_head:s82.04:gap+1.57
2025_08,2220250803010003,2025-08-03,maebashi,3,2-1-4/5-3-6/7,5,1-2-4,1-2-3,2,1,other_pos3plus,popular_pos2,1,3,popular_pos2,4,other_pos3plus,-3.030000000000001,extra3:popular_pos2:s85.23->miss4:other_pos3plus:s82.20:gap-3.03
2025_08,2220250803020003,2025-08-03,maebashi,3,2-1-4/5-3-6/7,2,4-1-5,1-3-4,2,1,other_head,other_pos2,1,3,other_pos2,5,other_head,-2.200000000000003,extra3:other_pos2:s86.25->miss5:other_head:s84.05:gap-2.20
