month,race_id,date,venue,race_no,line,target,actual,candidate_sets,best_overlap,n_best_variants,miss_roles,extra_roles,one_replacement,extra_frame,extra_role,missing_frame,missing_role,score_gap_missing_minus_extra,detail
2025_11,1220251103030005,2025-11-03,aomori,5,3-7-1/4/5-2-6,3,1-2-5,1-2-7,2,1,other_head,popular_pos2,1,7,popular_pos2,5,other_head,1.2199999999999989,extra7:popular_pos2:s83.11->miss5:other_head:s84.33:gap+1.22
2025_11,7320251103020001,2025-11-03,komatsushima,1,5/1-2/7-6/3/4,7,4-3-5,3-5-6,2,1,solo,popular_pos2,1,6,popular_pos2,4,solo,0.23999999999999488,extra6:popular_pos2:s79.76->miss4:solo:s80.00:gap+0.24
2025_11,7320251103030004,2025-11-03,komatsushima,4,6-1-4/2-7-3-5,2,1-7-4,1-3-7|1-5-7,2,2,other_pos3plus,popular_pos3plus,1,3,popular_pos3plus,4,other_pos3plus,-1.6199999999999903,extra3:popular_pos3plus:s86.66->miss4:other_pos3plus:s85.04:gap-1.62 ; extra5:popular_pos3plus:s84.61->miss4:other_pos3plus:s85.04:gap+0.43
2025_11,2720251104010007,2025-11-04,keiokaku,7,5-1-6/3/2-7-4,5,7-3-4,1-4-7,2,1,solo,popular_pos2,1,1,popular_pos2,3,solo,-4.209999999999994,extra1:popular_pos2:s84.36->miss3:solo:s80.15:gap-4.21
2025_11,2720251104010008,2025-11-04,keiokaku,8,7-3/2-5/4-1-6,7,3-5-2,1-3-5,2,1,other_head,other_pos2,1,1,other_pos2,2,other_head,-0.9899999999999949,extra1:other_pos2:s86.13->miss2:other_head:s85.14:gap-0.99
2025_11,2720251104020009,2025-11-04,keiokaku,9,1-7/3-5/4-6-2,4,6-1-7,2-3-5,0,1,other_head|other_pos2|popular_pos2,other_head|other_pos2|popular_pos3plus,0,,,,,,
2025_12,4220251201020001,2025-12-01,nagoya,1,3-7-5/1-4/2-6,3,7-5-1,4-5-7,2,1,other_head,other_pos2,1,4,other_pos2,1,other_head,-2.3900000000000006,extra4:other_pos2:s82.16->miss1:other_head:s79.77:gap-2.39
2025_12,4220251201020002,2025-12-01,nagoya,2,7-4-1/5-3/2-6,7,3-1-4,1-2-4,2,1,other_pos2,other_head,1,2,other_head,3,other_pos2,-4.680000000000007,extra2:other_head:s84.37->miss3:other_pos2:s79.69:gap-4.68
2025_12,4220251201030003,2025-12-01,nagoya,3,4-6-1/3-7/5-2,3,5-2-7,1-5-7,2,1,other_pos2,other_pos3plus,1,1,other_pos3plus,2,other_pos2,-5.969999999999999,extra1:other_pos3plus:s85.37->miss2:other_pos2:s79.40:gap-5.97
2025_12,4220251201030011,2025-12-01,nagoya,11,7-2-6/3-5-1/4,3,1-6-4,1-2-5,1,1,other_pos3plus|solo,other_pos2|popular_pos2,0,,,,,,
2025_12,3520251202020009,2025-12-02,hiratsuka,9,1-4-6/2-5-7/3,1,3-2-7,2-3-4,2,1,other_pos3plus,popular_pos2,1,4,popular_pos2,7,other_pos3plus,-0.8400000000000034,extra4:popular_pos2:s86.17->miss7:other_pos3plus:s85.33:gap-0.84
2025_12,3120251202010005,2025-12-02,matsudo,5,7-4-1/2/3-5/6,7,5-1-3,1-4-5,2,1,other_head,popular_pos2,1,4,popular_pos2,3,other_head,2.030000000000001,extra4:popular_pos2:s90.91->miss3:other_head:s92.94:gap+2.03
2025_12,5620251203010004,2025-12-03,kishiwada,4,3-1-7/4-2/6-5,3,7-1-5,1-2-7,2,1,other_pos2,other_pos2,1,2,other_pos2,5,other_pos2,-1.9500000000000028,extra2:other_pos2:s85.95->miss5:other_pos2:s84.00:gap-1.95
2025_12,5620251203020005,2025-12-03,kishiwada,5,3-1-6/4-2-5/7,3,1-6-7,1-2-6|1-5-6,2,2,solo,other_pos2|other_pos3plus,1,2,other_pos2,7,solo,-4.070000000000007,extra2:other_pos2:s85.76->miss7:solo:s81.69:gap-4.07 ; extra5:other_pos3plus:s84.60->miss7:solo:s81.69:gap-2.91
2025_12,5620251203010007,2025-12-03,kishiwada,7,5-3-4/2-1-6-7,2,3-5-1,1-3-4,2,1,other_head,other_pos3plus,1,4,other_pos3plus,5,other_head,-0.45999999999999375,extra4:other_pos3plus:s84.60->miss5:other_head:s84.14:gap-0.46
2025_12,5620251203030009,2025-12-03,kishiwada,9,1-3/4/6-5/2-7,1,3-7-4,3-5-7,2,1,solo,other_pos2,1,5,other_pos2,4,solo,0.9399999999999977,extra5:other_pos2:s92.23->miss4:solo:s93.17:gap+0.94
2025_12,8120251203030003,2025-12-03,kokura,3,3-1-5/6/4-2/7,3,7-6-1,1-2-5,1,1,solo,other_pos2|popular_pos3plus,0,,,,,,
2026_01,8620251230030001,2026-01-01,beppu,1,1-3-4/2-5,1,2-3-4,3-4-5,2,1,other_head,other_pos2,1,5,other_pos2,2,other_head,2.8700000000000045,extra5:other_pos2:s79.78->miss2:other_head:s82.65:gap+2.87
2026_01,8620251230030005,2026-01-01,beppu,5,6/1-4-7/3-5-2,3,7-5-4,2-4-5,2,1,other_pos3plus,popular_pos3plus,1,2,popular_pos3plus,7,other_pos3plus,-0.7000000000000028,extra2:popular_pos3plus:s84.86->miss7:other_pos3plus:s84.16:gap-0.70
2026_01,6220251231020001,2026-01-01,hiroshima,1,1-7/5-3/2-4-6,1,2-4-7,3-4-7,2,1,other_head,other_pos2,1,3,other_pos2,2,other_head,-6.260000000000005,extra3:other_pos2:s81.64->miss2:other_head:s75.38:gap-6.26
2026_01,5620251231020003,2026-01-01,kishiwada,3,5-1-7/3-6/4-2,4,5-3-6,2-3-5,2,1,other_pos2,popular_pos2,1,2,popular_pos2,6,other_pos2,-10.069999999999993,extra2:popular_pos2:s89.07->miss6:other_pos2:s79.00:gap-10.07
2026_01,8120251230030003,2026-01-01,kokura,3,2-5/6/7-1/4-3,2,4-5-3,1-3-5,2,1,other_head,other_pos2,1,1,other_pos2,4,other_head,0.04999999999999716,extra1:other_pos2:s84.11->miss4:other_head:s84.16:gap+0.05
2026_01,8320251230030005,2026-01-01,kurume,5,6-2/3-1-7/4-5,3,4-1-2,1-2-5,2,1,other_head,other_pos2,1,5,other_pos2,4,other_head,0.29000000000000625,extra5:other_pos2:s86.22->miss4:other_head:s86.51:gap+0.29
2026_01,8320251230030006,2026-01-01,kurume,6,2-1-4/5-3/7-6,2,7-6-5,1-3-4|1-4-6,1,1,other_head,popular_pos2|popular_pos3plus,0,,,,,,
2026_01,4720251231020009,2026-01-01,matsusaka,9,6-1-5/4-2-7/3,6,4-7-3,1-2-5,0,1,other_head|other_pos3plus|solo,other_pos2|popular_pos2|popular_pos3plus,0,,,,,,
2026_01,3820260101010002,2026-01-01,shizuoka,2,4-1-7/6-2/5-3,4,2-6-3,1-2-7|1-3-7,1,2,other_head|other_pos2,popular_pos2|popular_pos3plus,0,,,,,,
2026_01,4320260102010001,2026-01-02,gifu,1,5-1-6/2-3/7-4,2,5-1-4,1-3-4|1-3-6,2,1,other_head,popular_pos2,1,3,popular_pos2,5,other_head,-3.510000000000005,extra3:popular_pos2:s86.54->miss5:other_head:s83.03:gap-3.51
2026_01,4320260102010002,2026-01-02,gifu,2,2-1-5-7/4-3-6,2,1-4-3,1-3-5,2,1,other_head,popular_pos3plus,1,5,popular_pos3plus,4,other_head,0.980000000000004,extra5:popular_pos3plus:s82.61->miss4:other_head:s83.59:gap+0.98
2026_01,6220251231030003,2026-01-02,hiroshima,3,2-4/3-6/1-5-7,1,5-2-7,4-5-7,2,1,other_head,other_pos2,1,4,other_pos2,2,other_head,-3.1500000000000057,extra4:other_pos2:s85.59->miss2:other_head:s82.44:gap-3.15
