month,race_id,target,head_bust,candidate_sets,actual,set_match,eligible_count,pick,pick_odds,bet,hit,stake,pay
2024_05,1120240501010001,1,0,2-3-4,4-2-1,0,6,4-2-3,66.4,1,0,100,0
2024_05,1120240501030001,1,0,2-3-4|2-4-5,1-4-3,0,12,2-4-3,84.4,1,0,100,0
2024_05,1120240501010002,2,0,1-3-4,3-2-1,0,6,1-3-4,74.8,1,0,100,0
2024_05,1120240501020002,2,0,1-3-5,3-2-1,0,6,1-3-5,56.5,1,0,100,0
2024_05,1120240501030002,2,0,1-3-4,1-2-3,0,6,1-3-4,43.7,1,0,100,0
2024_05,1120240501020003,2,0,1-3-4,1-4-2,0,6,1-3-4,49.3,1,0,100,0
2024_05,1120240501030003,2,0,1-3-4,2-1-3,0,4,3-4-1,52.9,1,0,100,0
2024_05,1120240501020004,3,0,1-2-5,2-1-3,0,5,2-1-5,54.4,1,0,100,0
2024_05,1120240501030004,3,0,1-2-5|1-2-6,3-2-4,0,7,2-6-1,47.2,1,0,100,0
2024_05,1120240501010006,1,0,2-3-4,1-5-7,0,6,2-3-4,119.0,1,0,100,0
2024_05,1120240501020006,3,0,1-2-5,2-4-3,0,6,1-2-5,75.5,1,0,100,0
2024_05,1120240501030006,3,0,1-2-4,2-1-3,0,6,1-2-4,33.7,1,0,100,0
2024_05,1120240501010007,2,1,,3-7-1,0,0,,,0,0,0,0
2024_05,1120240501030007,2,0,1-3-4,1-4-2,0,5,1-4-3,30.1,1,0,100,0
2024_05,2220240501010001,2,1,1-3-4,4-5-1,0,6,4-1-3,34.3,1,0,100,0
2024_05,2220240501020001,4,1,1-2-5,1-2-5,1,5,2-1-5,33.6,1,0,100,0
2024_05,2220240501030001,2,0,1-3-4|1-3-6,2-1-3,0,12,1-4-3,62.9,1,0,100,0
2024_05,2220240501020002,2,1,1-4-6,4-3-5,0,6,1-4-6,182.9,1,0,100,0
2024_05,2220240501020004,3,0,1-4-5,3-5-1,0,4,5-1-4,43.0,1,0,100,0
2024_05,2220240501020005,1,1,3-4-5,2-4-5,0,6,3-5-4,206.8,1,0,100,0
2024_05,2220240501030005,1,0,2-3-4,1-3-5,0,6,3-2-4,43.0,1,0,100,0
2024_05,2220240501020006,1,0,2-3-5,1-2-3,0,6,2-3-5,82.4,1,0,100,0
2024_05,2220240501030006,7,1,1-2-4,2-1-4,1,4,2-4-1,91.7,1,0,100,0
2024_05,8420240501010001,1,1,3-5-7,7-3-2,0,6,7-3-5,63.9,1,0,100,0
2024_05,8420240501030001,1,0,2-3-7,7-1-4,0,5,2-7-3,43.0,1,0,100,0
2024_05,8420240501010003,3,1,,5-1-4,0,0,,,0,0,0,0
2024_05,8420240501020003,3,1,,7-1-4,0,0,,,0,0,0,0
2024_05,8420240501030003,3,1,1-4-7,4-2-1,0,3,7-1-4,30.9,1,0,100,0
2024_05,8420240501010004,2,0,4-5-7|3-5-7,7-2-5,0,11,7-5-3,30.8,1,0,100,0
2024_05,8420240501020004,7,0,2-3-4,5-3-7,0,6,3-2-4,244.9,1,0,100,0
2024_05,8420240501010005,1,0,3-4-7,1-4-7,0,6,7-3-4,56.7,1,0,100,0
2024_05,8420240501020005,1,1,3-4-7,3-7-5,0,6,3-4-7,42.2,1,0,100,0
2024_05,8420240501020006,4,1,2-3-7,3-7-6,0,6,7-3-2,34.6,1,0,100,0
2024_05,8420240501030006,7,1,1-2-4,5-1-2,0,6,1-2-4,188.6,1,0,100,0
2024_05,8420240501010007,7,0,2-3-5|2-3-4,2-4-7,0,12,3-2-4,143.1,1,0,100,0
2024_05,8420240501020007,5,1,1-3-7,3-2-7,0,6,3-1-7,112.4,1,0,100,0
2024_05,8420240501030007,7,1,1-2-5,1-4-2,0,4,2-5-1,41.6,1,0,100,0
2024_05,6120240501030005,2,1,1-4-7,1-7-6,0,4,4-7-1,31.3,1,0,100,0
2024_05,6120240501010006,5,1,1-2-3,4-1-2,0,6,3-2-1,64.5,1,0,100,0
2024_05,6120240501020006,4,1,1-2-5,2-6-7,0,6,2-1-5,62.6,1,0,100,0
2024_05,6120240501030006,4,1,2-3-5,1-2-5,0,6,2-5-3,238.5,1,0,100,0
2024_05,6120240501010007,2,0,3-5-7,7-2-5,0,6,7-5-3,110.8,1,0,100,0
2024_05,6120240501020007,2,0,1-3-7,2-1-7,0,6,1-7-3,38.5,1,0,100,0
2024_05,6120240501010008,1,0,3-4-7,1-4-5,0,6,7-4-3,532.2,1,0,100,0
2024_05,6120240501020008,7,0,2-4-5,7-2-4,0,6,4-5-2,62.2,1,0,100,0
2024_05,6120240501030008,7,0,1-2-3,2-4-7,0,6,1-2-3,43.9,1,0,100,0
2024_05,6120240501010009,3,0,4-5-7,3-1-2,0,6,7-5-4,75.9,1,0,100,0
2024_05,6120240501020009,5,0,1-3-7,3-2-5,0,5,3-7-1,44.5,1,0,100,0
2024_05,6120240501030009,5,1,1-3-7,1-2-3,0,6,7-1-3,46.6,1,0,100,0
2024_05,6120240501020010,2,0,1-3-7,3-2-1,0,6,3-7-1,253.6,1,0,100,0
2024_05,6120240501030010,3,1,1-2-5,1-4-2,0,3,1-5-2,30.6,1,0,100,0
