month,race_id,target,head_bust,candidate_sets,actual,set_match,eligible_count,pick,pick_odds,bet,hit,stake,pay
2024_01,3520240101030001,1,0,2-3-7,1-4-3,0,6,2-3-7,53.5,1,0,100,0
2024_01,3520240101010002,2,1,4-5-7,5-7-4,1,5,4-5-7,30.2,1,0,100,0
2024_01,3520240101020002,4,1,2-5-7,6-5-3,0,6,7-2-5,63.6,1,0,100,0
2024_01,3520240101030002,4,1,2-5-7,5-2-1,0,4,5-7-2,61.3,1,0,100,0
2024_01,3520240101040002,4,0,1-3-5,5-4-2,0,4,1-3-5,36.9,1,0,100,0
2024_01,3520240101010003,6,1,1-4-7,4-1-3,0,6,1-4-7,57.7,1,0,100,0
2024_01,3520240101020003,7,1,3-4-5|3-4-6,3-4-6,1,7,5-3-4,119.8,1,0,100,0
2024_01,3520240101030003,6,1,1-2-5|1-2-4,2-7-1,0,12,2-5-1,31.6,1,0,100,0
2024_01,3520240101040003,6,0,,6-3-7,0,0,,,0,0,0,0
2024_01,3520240101020004,4,1,1-2-5,2-5-1,1,4,2-1-5,36.0,1,0,100,0
2024_01,3520240101030004,4,0,1-5-7,7-5-4,0,6,1-7-5,46.1,1,0,100,0
2024_01,3520240101040004,4,1,1-3-7,6-1-2,0,6,1-7-3,238.0,1,0,100,0
2024_01,3520240101010005,5,0,,5-7-1,0,0,,,0,0,0,0
2024_01,3520240101030005,1,1,3-5-7,3-2-7,0,5,3-5-7,37.0,1,0,100,0
2024_01,2720240101010001,1,1,2-3-7,2-5-3,0,6,2-7-3,77.8,1,0,100,0
2024_01,2720240101020001,2,1,3-4-5,4-1-5,0,6,4-3-5,32.6,1,0,100,0
2024_01,2720240101010002,4,0,1-2-7|1-3-7,4-2-1,0,11,7-2-1,44.8,1,0,100,0
2024_01,2720240101020002,4,0,1-3-7,4-6-7,0,6,1-3-7,279.6,1,0,100,0
2024_01,2720240101030002,5,0,1-2-3,1-5-3,0,6,1-3-2,53.4,1,0,100,0
2024_01,2720240101030003,1,0,2-4-5,1-4-6,0,6,2-5-4,120.6,1,0,100,0
2024_01,2720240101010004,7,0,1-3-4,7-1-3,0,6,1-4-3,56.8,1,0,100,0
2024_01,2720240101030004,7,0,1-2-3,1-2-7,0,0,,,0,0,0,0
2024_01,2720240101010005,5,1,3-4-7|1-4-7,1-7-6,0,12,7-1-4,50.2,1,0,100,0
2024_01,2720240101030011,5,0,1-3-7,2-1-5,0,4,3-1-7,35.4,1,0,100,0
2024_01,8520240101020003,4,0,1-2-3,5-4-3,0,6,1-2-3,136.9,1,0,100,0
2024_01,8520240101030003,4,1,1-2-3,6-1-2,0,4,1-3-2,46.7,1,0,100,0
2024_01,8520240101020005,4,0,1-2-3,1-2-4,0,6,2-3-1,36.7,1,0,100,0
2024_01,8520240101020006,5,1,1-2-3,3-1-2,1,0,,,0,0,0,0
2024_01,8520240101010007,4,1,1-2-5,7-3-2,0,6,5-2-1,168.5,1,0,100,0
2024_01,8520240101020007,4,0,1-2-3,1-2-4,0,4,2-3-1,52.1,1,0,100,0
2024_01,8520240101030007,4,1,1-2-5,3-7-5,0,6,1-2-5,452.8,1,0,100,0
2024_01,2420240101020008,5,1,2-4-7|1-2-7,3-7-2,0,12,4-2-7,37.7,1,0,100,0
2024_01,2420240101030008,3,0,1-4-7,7-3-6,0,4,1-7-4,30.7,1,0,100,0
2024_01,2420240101020010,5,0,1-2-3|1-2-7,1-2-5,0,12,1-7-2,45.8,1,0,100,0
2024_01,2420240101020011,7,1,1-4-5,4-1-5,1,4,4-5-1,33.7,1,0,100,0
2024_01,2420240101020012,4,0,1-2-7|2-5-7,7-2-4,0,9,2-5-7,63.8,1,0,100,0
2024_01,8620240103020001,4,0,1-2-5,2-4-3,0,6,5-2-1,125.2,1,0,100,0
2024_01,8620240103010002,1,0,4-5-7,1-4-3,0,6,4-7-5,104.2,1,0,100,0
2024_01,8620240103020002,3,1,1-2-5,2-5-1,1,5,2-1-5,49.6,1,0,100,0
2024_01,8620240103010003,7,1,1-2-5,1-4-5,0,6,2-1-5,207.9,1,0,100,0
2024_01,8620240103020003,3,1,1-2-5,1-5-2,1,3,1-5-2,51.3,1,1,100,5130
2024_01,8620240103010004,1,0,3-4-5,1-3-5,0,6,3-4-5,42.3,1,0,100,0
