month,period,race_id,ticket,odds,market_p,actual_hit,return_units,group_score_percentile,trio_mean_delta,unordered_role_set,trio_key,odds_rank_ascending
2025_05,2025_H1,1120250519020010,5-4-3,735.6,0.001017791392607,0,0.0,0.4857142857142857,0.5785714285714315,BANTE+BANTE+RYO,3-4-5,3
2025_05,2025_H1,1120250519020010,3-5-4,855.5,0.0008751459361797,0,0.0,0.4857142857142857,0.5785714285714315,BANTE+BANTE+RYO,3-4-5,4
2025_05,2025_H1,1120250519020010,4-3-5,1108.6,0.0006753448930198,0,0.0,0.4857142857142857,0.5785714285714315,BANTE+BANTE+RYO,3-4-5,5
2025_05,2025_H1,1120250519020010,3-4-5,1499.2,0.0004993912409296,0,0.0,0.4857142857142857,0.5785714285714315,BANTE+BANTE+RYO,3-4-5,6
2025_05,2025_H1,1120250519020010,3-5-6,268.1,0.002792567506161,0,0.0,0.9142857142857144,-3.554761904761904,BANTE+RYO+RYO,3-5-6,1
2025_05,2025_H1,1120250519020010,5-3-6,297.0,0.0025208328229016,0,0.0,0.9142857142857144,-3.554761904761904,BANTE+RYO+RYO,3-5-6,2
2025_05,2025_H1,1120250519020010,3-6-5,783.2,0.0009559337952014,0,0.0,0.9142857142857144,-3.554761904761904,BANTE+RYO+RYO,3-5-6,3
2025_05,2025_H1,1120250519020010,5-6-3,1015.6,0.0007371872276504,0,0.0,0.9142857142857144,-3.554761904761904,BANTE+RYO+RYO,3-5-6,4
2025_05,2025_H1,1120250519020010,6-5-3,1729.9,0.0004327922703056,0,0.0,0.9142857142857144,-3.554761904761904,BANTE+RYO+RYO,3-5-6,5
2025_05,2025_H1,1120250519020010,6-3-5,1896.6,0.0003947523718241,0,0.0,0.9142857142857144,-3.554761904761904,BANTE+RYO+RYO,3-5-6,6
2025_06,2025_H1,1120250602020001,2-5-1,136.3,0.0054944633165424,0,0.0,0.7428571428571429,-0.9571428571428696,BANTE+RYO+RYO,1-2-5,1
2025_06,2025_H1,1120250602020001,2-1-5,145.7,0.0051399818122494,0,0.0,0.7428571428571429,-0.9571428571428696,BANTE+RYO+RYO,1-2-5,2
2025_06,2025_H1,1120250602020001,1-2-5,182.2,0.0041102928103443,0,0.0,0.7428571428571429,-0.9571428571428696,BANTE+RYO+RYO,1-2-5,3
2025_06,2025_H1,1120250602020001,1-5-2,340.0,0.0022026333824845,0,0.0,0.7428571428571429,-0.9571428571428696,BANTE+RYO+RYO,1-2-5,4
2025_06,2025_H1,1120250602020001,5-2-1,356.4,0.0021012776376115,0,0.0,0.7428571428571429,-0.9571428571428696,BANTE+RYO+RYO,1-2-5,5
2025_06,2025_H1,1120250602020001,5-1-2,625.0,0.0011982325600715,0,0.0,0.7428571428571429,-0.9571428571428696,BANTE+RYO+RYO,1-2-5,6
2025_06,2025_H1,1120250602030001,5-2-1,63.0,0.0118954412824786,0,0.0,0.0571428571428571,1.2880952380952426,BANTE+BANTE+RYO,1-2-5,1
2025_06,2025_H1,1120250602030001,2-5-1,76.0,0.0098606947473177,0,0.0,0.0571428571428571,1.2880952380952426,BANTE+BANTE+RYO,1-2-5,2
2025_06,2025_H1,1120250602030001,5-1-2,99.9,0.0075016296375991,0,0.0,0.0571428571428571,1.2880952380952426,BANTE+BANTE+RYO,1-2-5,3
2025_06,2025_H1,1120250602030001,1-5-2,143.2,0.0052333296144982,0,0.0,0.0571428571428571,1.2880952380952426,BANTE+BANTE+RYO,1-2-5,4
2025_06,2025_H1,1120250602030001,2-1-5,145.5,0.0051506034418979,0,0.0,0.0571428571428571,1.2880952380952426,BANTE+BANTE+RYO,1-2-5,5
2025_06,2025_H1,1120250602030001,1-2-5,167.0,0.0044875018011745,0,0.0,0.0571428571428571,1.2880952380952426,BANTE+BANTE+RYO,1-2-5,6
2025_06,2025_H1,1120250602030001,5-1-6,284.0,0.002638777467592,0,0.0,0.4571428571428571,-0.0752380952380917,BANTE+RYO+RYO,1-5-6,1
2025_06,2025_H1,1120250602030001,5-6-1,329.6,0.0022737038859106,0,0.0,0.4571428571428571,-0.0752380952380917,BANTE+RYO+RYO,1-5-6,2
2025_06,2025_H1,1120250602030001,1-5-6,426.0,0.0017591849783947,0,0.0,0.4571428571428571,-0.0752380952380917,BANTE+RYO+RYO,1-5-6,3
2025_06,2025_H1,1120250602030001,6-5-1,478.2,0.0015671534939275,0,0.0,0.4571428571428571,-0.0752380952380917,BANTE+RYO+RYO,1-5-6,4
