race_id,date,venue,race_no,line,target,result_source,head_bust,candidate_sets,orders,bets,bet_odds,actual,set_match,order_match,bet_hit,stake,pay
6220260228020001,2026-03-01,hiroshima,1,7-2-4/3-6/1-5,7,monthly,1.0,2-4-5,2-5-4,2-5-4,87.10,1-5-2,0.0,0.0,0.0,100,0
6220260228020002,2026-03-01,hiroshima,2,1-5-2/4/7-3-6,1,monthly,0.0,2-3-5,5-3-2,5-3-2,74.30,5-1-4,0.0,0.0,0.0,100,0
6220260228020003,2026-03-01,hiroshima,3,7-4-2/1/5/6-3,7,monthly,0.0,2-3-4,2-4-3,2-4-3,216.80,4-7-2,0.0,0.0,0.0,100,0
6220260228020004,2026-03-01,hiroshima,4,2-4-5/3/7-1-6,7,repair_fetched,,1-2-4,1-2-4,1-2-4,110.40,,,,,100,0
6220260228020005,2026-03-01,hiroshima,5,1-4/2-7/6/5-3,5,monthly,0.0,3-4-7,3-7-4,3-7-4,148.60,3-1-5,0.0,0.0,0.0,100,0
2720260301010007,2026-03-01,keiokaku,7,1-4/7-3/2-5-6,1,monthly,0.0,3-4-5,4-3-5,4-3-5,100.30,1-4-5,0.0,0.0,0.0,100,0
2720260301010008,2026-03-01,keiokaku,8,5-1-6/2-4-7/3,5,monthly,0.0,1-4-7,1-4-7,1-4-7,660.70,1-5-4,0.0,0.0,0.0,100,0
2720260301010009,2026-03-01,keiokaku,9,3-5/1-7-4/6-2,1,monthly,1.0,4-5-7,7-5-4,7-5-4,76.40,3-7-5,0.0,0.0,0.0,100,0
5620260301010003,2026-03-01,kishiwada,3,4-1/6/3-2-5/7,3,monthly,1.0,1-2-5,2-1-5,2-1-5,66.30,2-5-1,1.0,0.0,0.0,100,0
5620260301010004,2026-03-01,kishiwada,4,3-1-6/7-2/5-4,3,monthly,0.0,1-2-6,1-2-6,1-2-6,69.00,3-1-2,0.0,0.0,0.0,100,0
7320260301010002,2026-03-01,komatsushima,2,1-2-7/4-3/5/6,1,monthly,0.0,2-3-4|2-3-5,2-3-4|2-3-5,2-3-4|2-3-5,174.10|228.60,3-2-1,0.0,0.0,0.0,200,0
7320260301010003,2026-03-01,komatsushima,3,1-2/5/3-4/7-6,1,monthly,0.0,2-3-4,2-3-4,2-3-4,61.80,1-2-5,0.0,0.0,0.0,100,0
7320260301010005,2026-03-01,komatsushima,5,2-1/5-3-4/6-7,2,monthly,0.0,1-3-4,1-3-4,1-3-4,61.00,1-2-3,0.0,0.0,0.0,100,0
8320260301010002,2026-03-01,kurume,2,7-1/4/3-5/2-6,3,monthly,0.0,1-5-7,5-7-1,5-7-1,41.40,1-3-4,0.0,0.0,0.0,100,0
7520260227030001,2026-03-01,matsuyama,1,3-1-5/7-2-4/6,7,monthly,0.0,1-2-4,2-1-4,2-1-4,446.20,7-2-1,0.0,0.0,0.0,100,0
7520260227030003,2026-03-01,matsuyama,3,1-4-7-6/2-5/3,1,monthly,0.0,4-5-7,5-4-7,5-4-7,106.70,4-1-5,0.0,0.0,0.0,100,0
7520260227030004,2026-03-01,matsuyama,4,1-4/2-7/5-3/6,1,monthly,0.0,2-4-7,4-2-7,4-2-7,89.50,4-1-5,0.0,0.0,0.0,100,0
5320260227030001,2026-03-01,nara,1,4-6-1/5-3-2,5,monthly,0.0,2-3-6,3-6-2,3-6-2,88.60,6-5-4,0.0,0.0,0.0,100,0
