month,race_id,trio_key,group_score_percentile,role_ok,top3_spread,unordered_role_set,group_market_p,effective_group_odds,entropy_norm,hhi,rank1_conditional_share,rank6_conditional_share,rank1_to_rank6_share_ratio,group_hit,winner_odds_rank,rank1_exact_hit,rank1_posted_odds,rank1_order,rank1_exact_market_p,race_uid
2022_01,8620220101030003,1-3-5,0.3,1,0,BANTE+BANTE+RYO,0.054340259295322955,18.4025621697037,0.8648881269636505,0.25293175816900926,0.36417144398811263,0.058717179648169096,6.202127659574469,1,1.0,1,37.6,1-5-3,0.01978917069426622,2022_01|8620220101030003
2022_01,8620220101010009,1-2-7,0.2571428571428571,1,0,RYO+RYO+RYO,0.007354915869280114,135.96348588796002,0.9287667963975393,0.21014809777771748,0.2824141433009134,0.07992393356574601,3.533536585365853,0,,0,360.8,1-2-7,0.0020771322642730364,2022_01|8620220101010009
2022_01,8620220101010009,1-3-7,0.34285714285714286,1,0,BANTE+RYO+RYO,0.0059256621628285475,168.7575114006603,0.9558776218174665,0.1937345685121883,0.28782846421065106,0.08582507272947888,3.353664087391898,0,,0,439.4,1-3-7,0.0017055742397581058,2022_01|8620220101010009
2022_01,8620220101030009,1-2-7,0.34285714285714286,1,0,RYO+RYO+RYO,0.020916023267247213,47.81023558937795,0.9602203895894051,0.19034513858114818,0.27293858774133256,0.08698261303504116,3.1378522467631385,0,,0,131.3,7-2-1,0.0057087898517273064,2022_01|8620220101030009
2022_01,3720220101030002,2-5-7,0.2571428571428571,1,1,BANTE+BANTE+RYO,0.011220313153098812,89.12407223891262,0.9598257596468712,0.1912928882168716,0.28082854750921327,0.08710919634605815,3.2238679644519674,0,,0,236.3,7-5-2,0.0031509842453832605,2022_01|3720220101030002
2022_01,3720220101030003,4-6-7,0.4,1,0,BANTE+BANTE+BANTE,0.005544479960906444,180.35956610013864,0.8057666688778731,0.294915546518918,0.4541961007025501,0.049534418001148106,9.169303264893973,0,,0,297.1,4-6-7,0.0025182811786671347,2022_01|3720220101030003
2022_01,3720220101010004,4-5-7,0.2857142857142857,1,0,BANTE+RYO+RYO,0.006116733776726832,163.48594470546288,0.970294833375954,0.18484125239103447,0.26107783592659267,0.10820776110554399,2.4127459366980326,0,,0,467.6,5-4-7,0.0015969436173669355,2022_01|3720220101010004
2022_01,3720220101020004,2-5-7,0.2571428571428571,1,0,BANTE+BANTE+BANTE,0.12037555687310991,8.307334362358285,0.9536669403793634,0.19533134814503428,0.297840838205208,0.07647264764728312,3.894736842105264,0,,0,20.9,2-5-7,0.035852756758505744,2022_01|3720220101020004
2022_01,2220220101010008,3-4-7,0.2571428571428571,1,0,BANTE+BANTE+RYO,0.011123989844191443,89.89580303528997,0.9942068870840344,0.17036863420186674,0.220665734292201,0.14420491523947185,1.5302233902759526,0,,0,304.4,4-3-7,0.0024546833872274914,2022_01|2220220101010008
2022_01,2220220101020008,1-3-4,0.22857142857142856,1,1,BANTE+BANTE+BANTE,0.0489880625180762,20.41313635604609,0.9462236016191474,0.19689243092877948,0.2620853291959099,0.07810223327804382,3.355670103092783,0,,0,58.2,4-1-3,0.012839052491719814,2022_01|2220220101020008
2022_01,2220220101030008,1-3-4,0.3142857142857143,1,0,BANTE+BANTE+BANTE,0.09117076424496441,10.968428402257608,0.5938183983532591,0.4559880475382433,0.6250883659560444,0.014253538022670462,43.85496183206108,1,2.0,0,13.1,1-4-3,0.056989784044848564,2022_01|2220220101030008
2022_01,2220220101010010,2-3-5,0.3142857142857143,1,0,BANTE+BANTE+RYO,0.009392404473774959,106.46900937796644,0.9162258666526165,0.22101233798937114,0.3400382728073653,0.07798370886357711,4.3603757472245945,0,,0,234.2,3-2-5,0.0031937769947706076,2022_01|2220220101010010
2022_01,2220220101020010,1-2-3,0.34285714285714286,1,0,BANTE+BANTE+RYO,0.019734107847488115,50.673686782718505,0.8364144775814945,0.2758737946370857,0.43962603925954635,0.048237989541971615,9.11368909512761,0,,0,86.2,2-1-3,0.008675627671311931,2022_01|2220220101020010
