race_id,date,venue,race_no,line,target,ranking,candidates,actual,head_bust,top3_set_match,detail
2120260730030002,2026-08-01,yahiko,2,1-7-4/5-2/6/3,1,7-5-4-2-3-6,7-5-4,7-5-1,0.0,0,"1:s=81.76,L=1,p=1,t=1,mr=X,fin=3 | 2:s=81.17,L=2,p=2,t=2,mr=4,fin=7 | 3:s=81.73,L=4,p=1,t=1,mr=5,fin=6 | 4:s=82.33,L=1,p=3,t=3,mr=3,fin=4 | 5:s=90.13,L=2,p=1,t=1,mr=2,fin=2 | 6:s=79.38,L=3,p=1,t=1,mr=6,fin=5 | 7:s=89.33,L=1,p=2,t=4,mr=1,fin=1"
2120260730030003,2026-08-01,yahiko,3,2-6-5/1/7-3-4,2,5-3-1-6-4-7,5-3-1,6-5-2,0.0,0,"1:s=86.87,L=2,p=1,t=1,mr=3,fin=6 | 2:s=86.14,L=1,p=1,t=1,mr=X,fin=3 | 3:s=85.62,L=3,p=2,t=2,mr=2,fin=4 | 4:s=81.74,L=3,p=3,t=2,mr=5,fin=5 | 5:s=87.84,L=1,p=3,t=3,mr=1,fin=2 | 6:s=81.44,L=1,p=2,t=4,mr=4,fin=1 | 7:s=83.42,L=3,p=1,t=1,mr=6,fin=7"
2120260730030004,2026-08-01,yahiko,4,1-4-7/2-5/3-6,1,4-5-3-2-7-6,4-5-3|4-5-2,4-1-3,0.0,0,"1:s=86.54,L=1,p=1,t=1,mr=X,fin=2 | 2:s=86.96,L=2,p=1,t=1,mr=4,fin=6 | 3:s=88.56,L=3,p=1,t=1,mr=3,fin=3 | 4:s=86.50,L=1,p=2,t=4,mr=1,fin=1 | 5:s=86.40,L=2,p=2,t=2,mr=2,fin=7 | 6:s=74.52,L=3,p=2,t=2,mr=6,fin=5 | 7:s=81.96,L=1,p=3,t=3,mr=5,fin=4"
2120260730030011,2026-08-01,yahiko,11,2-1-7/3-5/4/6,2,7-5-1-4-3-6,7-5-1,4-7-6,1.0,0,"1:s=91.00,L=1,p=2,t=4,mr=3,fin=6 | 2:s=91.57,L=1,p=1,t=1,mr=X,fin=7 | 3:s=91.66,L=2,p=1,t=1,mr=5,fin=5 | 4:s=93.41,L=3,p=1,t=1,mr=4,fin=1 | 5:s=95.80,L=2,p=2,t=2,mr=2,fin=4 | 6:s=90.37,L=4,p=1,t=1,mr=6,fin=3 | 7:s=96.52,L=1,p=3,t=3,mr=1,fin=2"
1320260731030002,2026-08-02,iwakitaira,2,2-7-1/3-5/4-6,2,7-1-3-4-5-6,7-1-3|7-1-4,4-1-5,1.0,0,"1:s=82.30,L=1,p=3,t=3,mr=2,fin=2 | 2:s=84.23,L=1,p=1,t=1,mr=X,fin=5 | 3:s=85.16,L=2,p=1,t=1,mr=3,fin=7 | 4:s=85.08,L=3,p=1,t=1,mr=4,fin=1 | 5:s=81.73,L=2,p=2,t=2,mr=5,fin=3 | 6:s=73.29,L=3,p=2,t=2,mr=6,fin=6 | 7:s=90.53,L=1,p=2,t=4,mr=1,fin=4"
1320260731030004,2026-08-02,iwakitaira,4,1-4-7/6/3-2-5,1,3-4-2-7-5-6,3-4-2,4-1-7,0.0,0,"1:s=92.90,L=1,p=1,t=1,mr=X,fin=2 | 2:s=86.52,L=3,p=2,t=2,mr=3,fin=5 | 3:s=91.28,L=3,p=1,t=1,mr=1,fin=7 | 4:s=84.68,L=1,p=2,t=4,mr=2,fin=1 | 5:s=83.82,L=3,p=3,t=2,mr=5,fin=6 | 6:s=81.80,L=2,p=1,t=1,mr=6,fin=4 | 7:s=83.27,L=1,p=3,t=3,mr=4,fin=3"
1320260731030011,2026-08-02,iwakitaira,11,1-7-4/5-2/6-3,1,7-4-3-5-2-6,7-4-3,7-4-1,0.0,0,"1:s=93.00,L=1,p=1,t=1,mr=X,fin=3 | 2:s=85.55,L=2,p=2,t=2,mr=5,fin=6 | 3:s=96.52,L=3,p=2,t=2,mr=3,fin=4 | 4:s=95.73,L=1,p=3,t=3,mr=2,fin=2 | 5:s=89.80,L=2,p=1,t=1,mr=4,fin=5 | 6:s=79.90,L=3,p=1,t=1,mr=6,fin=7 | 7:s=94.36,L=1,p=2,t=4,mr=1,fin=1"
2720260731030002,2026-08-02,keiokaku,2,5-1-6/3/2-7/4,5,1-2-3-6-4-7,1-2-3|1-3-2,3-6-5,0.0,0,"1:s=87.33,L=1,p=2,t=4,mr=1,fin=5 | 2:s=84.05,L=3,p=1,t=1,mr=2,fin=6 | 3:s=84.04,L=2,p=1,t=1,mr=3,fin=1 | 4:s=81.13,L=4,p=1,t=1,mr=5,fin=4 | 5:s=80.25,L=1,p=1,t=1,mr=X,fin=3 | 6:s=78.25,L=1,p=3,t=3,mr=4,fin=2 | 7:s=71.66,L=3,p=2,t=2,mr=6,fin=7"
2720260731030003,2026-08-02,keiokaku,3,4-3-7/1-5-2/6,4,3-2-1-7-5-6,3-2-1,4-1-5,0.0,0,"1:s=85.33,L=2,p=1,t=1,mr=3,fin=2 | 2:s=85.26,L=2,p=3,t=2,mr=2,fin=5 | 3:s=85.20,L=1,p=2,t=4,mr=1,fin=6 | 4:s=82.22,L=1,p=1,t=1,mr=X,fin=1 | 5:s=80.95,L=2,p=2,t=2,mr=5,fin=3 | 6:s=80.72,L=3,p=1,t=1,mr=6,fin=4 | 7:s=78.31,L=1,p=3,t=3,mr=4,fin=7"
2720260731030004,2026-08-02,keiokaku,4,2-1/5-3/7-4/6,2,1-3-4-5-6-7,1-3-4|1-4-3,5-4-3,1.0,0,"1:s=89.61,L=1,p=2,t=4,mr=1,fin=4 | 2:s=88.62,L=1,p=1,t=1,mr=X,fin=5 | 3:s=87.11,L=2,p=2,t=2,mr=2,fin=3 | 4:s=86.55,L=3,p=2,t=2,mr=3,fin=2 | 5:s=83.38,L=2,p=1,t=1,mr=4,fin=1 | 6:s=80.85,L=4,p=1,t=1,mr=5,fin=6 | 7:s=76.41,L=3,p=1,t=1,mr=6,fin=7"
