month,race_id,selected_set,actual,trio_odds,parsed_trio_count,bet,hit,stake,pay,source_url
2024_11,4220241101010001,1-4-5,2-4-1,7.8,35,0,0,0,0,https://keirin.kdreams.jp/nagoya/racedetail/4220241101010001/?pageType=odds&kakeshikiType=3renhuku
2024_11,4220241101020001,1-3-7,5-7-2,6.3,35,0,0,0,0,https://keirin.kdreams.jp/nagoya/racedetail/4220241101020001/?pageType=odds&kakeshikiType=3renhuku
2024_11,4220241101030001,1-2-4,5-4-3,18.3,10,1,0,100,0,https://keirin.kdreams.jp/nagoya/racedetail/4220241101030001/?pageType=odds&kakeshikiType=3renhuku
2024_11,4220241101010002,1-2-3,3-5-2,11.8,35,0,0,0,0,https://keirin.kdreams.jp/nagoya/racedetail/4220241101010002/?pageType=odds&kakeshikiType=3renhuku
2024_11,4220241101020002,2-4-7,7-1-2,5.8,35,0,0,0,0,https://keirin.kdreams.jp/nagoya/racedetail/4220241101020002/?pageType=odds&kakeshikiType=3renhuku
2024_11,4220241101030002,3-4-5,4-1-6,12.1,20,0,0,0,0,https://keirin.kdreams.jp/nagoya/racedetail/4220241101030002/?pageType=odds&kakeshikiType=3renhuku
2024_11,4220241101030004,3-5-7,2-4-5,53.2,35,1,0,100,0,https://keirin.kdreams.jp/nagoya/racedetail/4220241101030004/?pageType=odds&kakeshikiType=3renhuku
2024_11,4220241101020005,2-4-5,5-6-4,7.5,35,0,0,0,0,https://keirin.kdreams.jp/nagoya/racedetail/4220241101020005/?pageType=odds&kakeshikiType=3renhuku
2024_11,4220241101030011,2-4-7,5-1-2,5.0,35,0,0,0,0,https://keirin.kdreams.jp/nagoya/racedetail/4220241101030011/?pageType=odds&kakeshikiType=3renhuku
2024_11,8520241101010001,2-3-5,6-1-4,10.2,35,0,0,0,0,https://keirin.kdreams.jp/sasebo/racedetail/8520241101010001/?pageType=odds&kakeshikiType=3renhuku
2024_11,8520241101010003,1-2-3,7-1-4,25.2,35,1,0,100,0,https://keirin.kdreams.jp/sasebo/racedetail/8520241101010003/?pageType=odds&kakeshikiType=3renhuku
2024_11,8520241101010004,1-2-4,2-7-1,33.2,35,1,0,100,0,https://keirin.kdreams.jp/sasebo/racedetail/8520241101010004/?pageType=odds&kakeshikiType=3renhuku
2024_11,2620241101010008,1-5-7,5-7-2,11.4,35,0,0,0,0,https://keirin.kdreams.jp/seibuen/racedetail/2620241101010008/?pageType=odds&kakeshikiType=3renhuku
2024_11,2620241101030009,1-2-5,1-7-5,16.5,35,1,0,100,0,https://keirin.kdreams.jp/seibuen/racedetail/2620241101030009/?pageType=odds&kakeshikiType=3renhuku
2024_11,2620241101020011,2-3-4,3-2-4,61.3,35,1,1,100,6130,https://keirin.kdreams.jp/seibuen/racedetail/2620241101020011/?pageType=odds&kakeshikiType=3renhuku
2024_11,2720241102010001,1-3-4,7-1-5,6.4,35,0,0,0,0,https://keirin.kdreams.jp/keiokaku/racedetail/2720241102010001/?pageType=odds&kakeshikiType=3renhuku
2024_11,2720241102030001,1-2-4,5-3-1,13.3,35,0,0,0,0,https://keirin.kdreams.jp/keiokaku/racedetail/2720241102030001/?pageType=odds&kakeshikiType=3renhuku
2024_11,2720241102020002,1-2-4,4-3-1,9.9,35,0,0,0,0,https://keirin.kdreams.jp/keiokaku/racedetail/2720241102020002/?pageType=odds&kakeshikiType=3renhuku
2024_11,2720241102030002,1-2-4,4-2-1,6.9,35,0,0,0,0,https://keirin.kdreams.jp/keiokaku/racedetail/2720241102030002/?pageType=odds&kakeshikiType=3renhuku
2024_11,2720241102010003,2-3-5,1-2-5,31.5,35,1,0,100,0,https://keirin.kdreams.jp/keiokaku/racedetail/2720241102010003/?pageType=odds&kakeshikiType=3renhuku
2024_11,2720241102020004,1-3-4,1-2-4,14.5,35,0,0,0,0,https://keirin.kdreams.jp/keiokaku/racedetail/2720241102020004/?pageType=odds&kakeshikiType=3renhuku
2024_11,2720241102030005,1-4-5,7-1-4,52.0,35,1,0,100,0,https://keirin.kdreams.jp/keiokaku/racedetail/2720241102030005/?pageType=odds&kakeshikiType=3renhuku
2024_11,2720241102010007,2-3-5,4-7-5,94.0,35,1,0,100,0,https://keirin.kdreams.jp/keiokaku/racedetail/2720241102010007/?pageType=odds&kakeshikiType=3renhuku
2024_11,2720241102030007,2-3-5,3-4-6,27.4,35,1,0,100,0,https://keirin.kdreams.jp/keiokaku/racedetail/2720241102030007/?pageType=odds&kakeshikiType=3renhuku
2024_11,8120241102010001,2-3-4,2-4-6,6.8,35,0,0,0,0,https://keirin.kdreams.jp/kokura/racedetail/8120241102010001/?pageType=odds&kakeshikiType=3renhuku
2024_11,8120241102020001,3-4-5,4-3-5,27.9,35,1,1,100,2790,https://keirin.kdreams.jp/kokura/racedetail/8120241102020001/?pageType=odds&kakeshikiType=3renhuku
2024_11,8120241102030001,1-2-3,5-4-2,7.6,35,0,0,0,0,https://keirin.kdreams.jp/kokura/racedetail/8120241102030001/?pageType=odds&kakeshikiType=3renhuku
2024_11,8120241102030005,1-4-5,1-6-2,46.8,35,1,0,100,0,https://keirin.kdreams.jp/kokura/racedetail/8120241102030005/?pageType=odds&kakeshikiType=3renhuku
