month,race_id,variant,target,head_bust,result_source,candidate_sets,orders,bets,actual,set_match,bet,bet_hit,stake,pay,reason
2024_03,8620240301010001,BASE,3,1,monthly,1-2-7,7-1-2,7-1-2,2-5-1,0,1,0,100,0,BET
2024_03,8620240301010001,OH_HIGH,3,1,monthly,1-5-7|2-5-7,7-1-5|7-5-2,7-1-5|7-5-2,2-5-1,0,1,0,200,0,BET
2024_03,8620240301020001,BASE,5,0,monthly,,,,1-4-5,0,0,0,0,0,cannot_compress_multiple_ambiguities
2024_03,8620240301020001,OH_HIGH,5,0,monthly,2-3-4,2-4-3,2-4-3,1-4-5,0,1,0,100,0,BET
2024_03,8620240301010002,BASE,7,0,monthly,1-3-5,1-3-5,1-3-5,3-7-6,0,1,0,100,0,BET
2024_03,8620240301010002,OH_HIGH,7,0,monthly,1-3-5,1-3-5,1-3-5,3-7-6,0,1,0,100,0,BET
2024_03,8620240301030002,BASE,5,1,monthly,,,,4-1-2,0,0,0,0,0,ranking_cycle
2024_03,8620240301030002,OH_HIGH,5,1,monthly,2-3-7,7-2-3,7-2-3,4-1-2,0,1,0,100,0,BET
2024_03,8620240301010003,BASE,7,1,monthly,1-3-5,1-3-5,1-3-5,1-5-6,0,1,0,100,0,BET
2024_03,8620240301010003,OH_HIGH,7,1,monthly,,,,1-5-6,0,0,0,0,0,ranking_cycle
2024_03,8620240301020003,BASE,5,1,monthly,1-3-4,3-1-4,3-1-4,7-6-3,0,1,0,100,0,BET
2024_03,8620240301020003,OH_HIGH,5,1,monthly,1-3-7|1-3-4,3-1-7|3-1-4,3-1-7|3-1-4,7-6-3,0,1,0,200,0,BET
2024_03,8620240301010004,BASE,4,0,monthly,1-3-7,1-3-7,1-3-7,1-4-2,0,1,0,100,0,BET
2024_03,8620240301010004,OH_HIGH,4,0,monthly,1-3-7,1-3-7,1-3-7,1-4-2,0,1,0,100,0,BET
2024_03,8620240301030006,BASE,3,0,monthly,1-5-7,1-5-7,1-5-7,3-5-1,0,1,0,100,0,BET
2024_03,8620240301030006,OH_HIGH,3,0,monthly,1-5-7,1-5-7,1-5-7,3-5-1,0,1,0,100,0,BET
2024_03,8620240301010007,BASE,4,0,monthly,,,,1-5-4,0,0,0,0,0,ranking_cycle
2024_03,8620240301010007,OH_HIGH,4,0,monthly,1-2-7,2-7-1,2-7-1,1-5-4,0,1,0,100,0,BET
2024_03,4320240301030005,BASE,7,1,monthly,1-4-5,5-4-1,5-4-1,2-5-6,0,1,0,100,0,BET
2024_03,4320240301030005,OH_HIGH,7,1,monthly,1-4-5,5-4-1,5-4-1,2-5-6,0,1,0,100,0,BET
2024_03,4320240301010008,BASE,5,0,monthly,1-3-7,1-3-7,1-3-7,7-1-5,0,1,0,100,0,BET
2024_03,4320240301010008,OH_HIGH,5,0,monthly,1-3-4,1-3-4,1-3-4,7-1-5,0,1,0,100,0,BET
2024_03,4320240301020008,BASE,5,0,monthly,2-3-7,2-3-7,2-3-7,4-7-5,0,1,0,100,0,BET
2024_03,4320240301020008,OH_HIGH,5,0,monthly,2-4-7,2-4-7,2-4-7,4-7-5,0,1,0,100,0,BET
2024_03,4320240301030009,BASE,4,1,monthly,1-2-7,2-1-7,2-1-7,1-2-7,1,1,0,100,0,BET
2024_03,4320240301030009,OH_HIGH,4,1,monthly,1-2-7,2-1-7,2-1-7,1-2-7,1,1,0,100,0,BET
2024_03,4320240301010010,BASE,5,0,monthly,1-2-4,2-1-4,2-1-4,5-7-4,0,1,0,100,0,BET
2024_03,4320240301010010,OH_HIGH,5,0,monthly,1-2-3|2-3-4,2-1-3|2-3-4,2-1-3|2-3-4,5-7-4,0,1,0,200,0,BET
2024_03,4320240301020010,BASE,7,0,monthly,1-2-5,1-5-2,1-5-2,7-4-2,0,1,0,100,0,BET
